grammatical,ungrammatical,direct_log_prob_grammatical,direct_log_prob_ungrammatical,MetaQuestionSimple_log_prob_yes_grammatical,MetaQuestionSimple_log_prob_no_grammatical,MetaQuestionSimple_log_prob_yes_ungrammatical,MetaQuestionSimple_log_prob_no_ungrammatical,MetaInstruct_log_prob_yes_grammatical,MetaInstruct_log_prob_no_grammatical,MetaInstruct_log_prob_yes_ungrammatical,MetaInstruct_log_prob_no_ungrammatical,MetaQuestionComplex_log_prob_yes_grammatical,MetaQuestionComplex_log_prob_no_grammatical,MetaQuestionComplex_log_prob_yes_ungrammatical,MetaQuestionComplex_log_prob_no_ungrammatical
Only some tomato had ever charred.,Even some tomato had ever charred.,-77.61884307861328,-75.52951049804688,-1.4712170362472534,-3.020411491394043,-1.97624671459198,-2.8438339233398438,-0.9160407185554504,-2.8302576541900635,-1.3862121105194092,-2.5235726833343506,-1.8297076225280762,-3.4554085731506348,-1.5916907787322998,-3.862657308578491
No man had toured more than five libraries.,No man had toured at least five libraries.,-73.88190650939941,-73.76673030853271,-2.5142464637756348,-1.812638759613037,-3.0833933353424072,-1.7926304340362549,-1.62238347530365,-2.8616929054260254,-1.9947549104690552,-2.964475631713867,-1.7576695680618286,-3.670670509338379,-1.5602138042449951,-3.5943381786346436
Dawn hasn't said Robert hadn't watched himself.,Dawn hasn't said Robert hadn't watched herself.,-90.05258655548096,-90.24600887298584,-3.1394238471984863,-4.129642963409424,-3.1517367362976074,-4.155185222625732,-2.1493747234344482,-3.9674527645111084,-2.047654628753662,-3.8270182609558105,-1.4961155652999878,-3.782343864440918,-1.4780076742172241,-3.716928005218506
What is Derek ascending without noticing every ladder?,What is Derek ascending every ladder without noticing?,-94.11478328704834,-92.80314445495605,-2.4764676094055176,-3.3382620811462402,-2.143068313598633,-3.1577539443969727,-1.654539704322815,-3.174103260040283,-1.3751001358032227,-2.9333677291870117,-1.9680250883102417,-5.324843406677246,-2.164546251296997,-5.572211265563965
Lissa hadn't discovered there to be mountains disappearing.,Lissa hadn't implored there to be mountains disappearing.,-96.70089912414551,-107.07324504852295,-3.0149216651916504,-3.497511386871338,-3.248098850250244,-3.59639310836792,-1.5595706701278687,-2.9504542350769043,-2.074115753173828,-3.197154998779297,-1.6539533138275146,-3.746798276901245,-1.6687607765197754,-3.822380542755127
An actor wasn't bound to propose to drive to these banks.,An actor wasn't unpleasant to propose to drive to these banks.,-107.66743278503418,-108.01618194580078,-2.6063170433044434,-3.6317172050476074,-2.593904972076416,-3.787327289581299,-1.397861361503601,-3.543367385864258,-1.3322842121124268,-3.5461533069610596,-1.3922160863876343,-4.499756336212158,-1.4783307313919067,-3.9814186096191406
The Borgias figure out what that pedestrian that comes here goes to.,The Borgias figure out that that pedestrian that comes here goes to.,-109.19931507110596,-115.00415420532227,-1.9607053995132446,-3.5234599113464355,-2.8316574096679688,-3.3287553787231445,-0.9854417443275452,-3.609253406524658,-1.7781662940979004,-3.0836539268493652,-1.185332179069519,-4.983880043029785,-1.575162649154663,-4.080874443054199
Janet discovers Lissa.,Janet discover Lissa.,-66.12201118469238,-71.82835578918457,-3.111583709716797,-5.100672721862793,-1.924009084701538,-3.8637797832489014,-0.8481400609016418,-4.533475399017334,-0.7635847330093384,-3.638720989227295,-1.9550223350524902,-3.414008617401123,-1.9014357328414917,-4.039100646972656
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,-85.76762008666992,-105.98464584350586,-1.917756199836731,-4.122378349304199,-1.9509096145629883,-3.268467903137207,-1.1638855934143066,-4.2520432472229,-1.2119779586791992,-3.3270301818847656,-1.8273330926895142,-4.49605131149292,-1.9868310689926147,-4.043053150177002
A lot of customers were disliked by some person.,A lot of customers were disliked by some casseroles.,-62.07178592681885,-76.78305244445801,-1.2387726306915283,-4.0745086669921875,-1.3905134201049805,-4.213237762451172,-0.738372266292572,-3.8594489097595215,-0.8974369764328003,-3.825925827026367,-1.7842769622802734,-3.909478187561035,-1.6740273237228394,-3.6765871047973633
The dancer suffers.,The dancers suffers.,-51.15887451171875,-57.148075103759766,-3.052611827850342,-5.1771368980407715,-2.066471576690674,-3.601614475250244,-1.1272753477096558,-4.432703018188477,-1.145798683166504,-3.0645313262939453,-1.7800549268722534,-4.796755790710449,-2.0424232482910156,-4.536862373352051
Stacey can listen to which child?,Which can Stacey listen to child?,-78.64088439941406,-79.96847534179688,-1.7922011613845825,-2.6289548873901367,-1.8446526527404785,-1.7541203498840332,-1.0723427534103394,-2.5007266998291016,-1.1664190292358398,-1.9713048934936523,-1.8746663331985474,-4.763218879699707,-1.8241599798202515,-4.333871364593506
Maria hated herself.,Maria hated itself.,-46.88711929321289,-53.068687438964844,-0.9291531443595886,-4.152683734893799,-1.499632716178894,-4.132876396179199,-0.4792305827140808,-3.953094244003296,-0.708636462688446,-3.6591074466705322,-2.0485846996307373,-3.986098051071167,-2.3791913986206055,-4.515171051025391
Who had the legislatures learned they won't watch?,Who had the legislatures learned who won't watch?,-88.23049545288086,-94.69602298736572,-2.8595728874206543,-2.0607657432556152,-2.7563350200653076,-2.3101251125335693,-2.208466053009033,-1.6888786554336548,-2.082150459289551,-1.8570795059204102,-3.1212124824523926,-4.939712047576904,-3.4736595153808594,-4.871323585510254
Anne imagines Carlos helps himself.,Carlos imagines Anne helps himself.,-71.72613430023193,-67.91274929046631,-1.351802945137024,-3.5705814361572266,-1.8651045560836792,-3.7083358764648438,-0.7748799324035645,-3.4380412101745605,-0.8593989610671997,-3.4088354110717773,-1.5453883409500122,-4.040035247802734,-1.6773455142974854,-4.9486494064331055
Dan's classmates aren't seen by the teacher's mothers.,Dan's classmates aren't struggled by the teacher's mothers.,-80.82186698913574,-88.4000415802002,-1.4512407779693604,-3.5571815967559814,-1.7855032682418823,-3.7257423400878906,-0.88973069190979,-3.118323564529419,-1.166749358177185,-3.367642879486084,-1.8623340129852295,-4.287199974060059,-2.1595611572265625,-4.005033493041992
Teresa's electricians weren't approached by Mary.,Teresa's electricians weren't responded by Mary.,-80.58640098571777,-85.15643072128296,-1.9349606037139893,-4.364136695861816,-1.8263853788375854,-4.195683479309082,-1.1993358135223389,-4.107954978942871,-1.085487723350525,-3.8439459800720215,-1.3781929016113281,-3.991863250732422,-1.3873971700668335,-3.8523497581481934
Only the cakes would ever char.,Even the cakes would ever char.,-66.73045253753662,-65.05626201629639,-2.3879313468933105,-2.4515042304992676,-3.394413948059082,-2.4259233474731445,-1.2251274585723877,-2.3338510990142822,-2.3858249187469482,-2.1943204402923584,-2.2432031631469727,-3.3997230529785156,-1.6767874956130981,-4.336538314819336
Even Roger also smiles.,Even Roger ever smiles.,-62.62821674346924,-60.7159948348999,-1.171704649925232,-3.4488120079040527,-1.7348036766052246,-2.5564799308776855,-0.5472020506858826,-2.982560157775879,-0.897278368473053,-2.1649298667907715,-1.2001316547393799,-4.325469970703125,-1.728479027748108,-4.045718669891357
Kayla insults herself.,Kayla insults itself.,-53.39582443237305,-59.286513328552246,-0.9610333442687988,-4.140227794647217,-0.8214448690414429,-3.631242275238037,-0.4661868214607239,-4.119753360748291,-0.457093745470047,-3.7037606239318848,-1.3272490501403809,-4.099935054779053,-1.3683489561080933,-4.111915588378906
The men couldn't disagree with themselves.,The men couldn't disagree with herself.,-56.92640686035156,-59.275901794433594,-2.0524771213531494,-3.6549160480499268,-2.5413966178894043,-3.9261670112609863,-1.0668821334838867,-3.361514091491699,-1.241661787033081,-3.4045827388763428,-1.5006119012832642,-4.711829662322998,-1.6310133934020996,-4.397515773773193
That painting is looking like this delighted boy.,That painting is looking like this delighted boys.,-74.01008605957031,-79.21133136749268,-1.8187286853790283,-2.9816086292266846,-1.7503293752670288,-2.9497036933898926,-1.0591950416564941,-2.897988796234131,-1.0713177919387817,-2.9215126037597656,-1.8669742345809937,-4.340861797332764,-1.85484778881073,-4.67399787902832
Some waiter remembers Ruth.,Every fork remembers Ruth.,-62.19820022583008,-73.53358268737793,-3.0630249977111816,-4.363342761993408,-3.855649948120117,-3.2399110794067383,-1.6801389455795288,-4.2813401222229,-1.694671869277954,-3.2538931369781494,-1.6434919834136963,-4.759767532348633,-1.145100712776184,-4.36109733581543
Sherry thought about herself questioning every adult.,Sherry thought about herself questions every adult.,-77.65722942352295,-80.27090263366699,-2.2024073600769043,-3.9421582221984863,-2.176375389099121,-3.5863943099975586,-1.2173373699188232,-3.8137118816375732,-1.133784294128418,-3.3875226974487305,-0.9214636087417603,-4.2741618156433105,-0.9959967136383057,-4.076888084411621
Becky's classmates found there to be fewer than three grandsons of Beverly upsetting Mark.,Becky's classmates persuade there to be fewer than three grandsons of Beverly upsetting Mark.,-138.4026756286621,-147.63356018066406,-3.2266643047332764,-3.8856303691864014,-4.341215133666992,-4.170162200927734,-1.7016704082489014,-3.6438605785369873,-2.6710667610168457,-3.785217761993408,-1.0517737865447998,-3.52266001701355,-1.5380126237869263,-3.5772504806518555
Stephanie hasn't said James reveals himself.,Stephanie hasn't said James reveals herself.,-84.63323593139648,-84.99307632446289,-2.9436192512512207,-3.7649035453796387,-2.7482504844665527,-3.6502461433410645,-1.827675461769104,-3.7300190925598145,-1.7390880584716797,-3.590728759765625,-1.3878462314605713,-4.2165117263793945,-1.292352318763733,-4.104232311248779
Art has distracted one uncertain podiatrist and many hills had distracted two.,Art has distracted one podiatrist and many hills had distracted two uncertain.,-129.1409969329834,-126.13264560699463,-1.946624994277954,-3.2581570148468018,-2.2474191188812256,-3.1187093257904053,-0.950041651725769,-3.172915458679199,-1.398253083229065,-3.0636277198791504,-1.8559210300445557,-3.1966116428375244,-1.9054988622665405,-3.165688991546631
All radii haven't shocked Katherine.,All radii hasn't shocked Katherine.,-79.51280212402344,-82.55953979492188,-2.3744046688079834,-3.1935975551605225,-2.722843885421753,-3.3250529766082764,-1.3540693521499634,-3.1383156776428223,-1.4774879217147827,-3.1738085746765137,-1.4852923154830933,-4.245199203491211,-1.5998456478118896,-4.17497444152832
Eva had thought about these grocery stores that Alan was driving to.,Eva had thought about what Alan was driving to these grocery stores.,-94.58558940887451,-102.22090435028076,-2.2950873374938965,-4.3099493980407715,-2.8760552406311035,-4.586309909820557,-1.022396206855774,-3.8674392700195312,-1.1049973964691162,-4.035994529724121,-1.1415302753448486,-3.7553493976593018,-1.295464277267456,-3.6043365001678467
There is a vase appearing.,There is each vase appearing.,-57.716068267822266,-68.7388744354248,-3.5822339057922363,-4.451188564300537,-4.951244831085205,-5.017422199249268,-2.1310348510742188,-4.429906845092773,-3.6821041107177734,-5.304608345031738,-2.108287811279297,-4.617117881774902,-1.7558879852294922,-4.096218109130859
Clyde's girlfriend isn't observed.,Clyde's girlfriend isn't murmured.,-62.49816083908081,-71.30155086517334,-1.8767571449279785,-4.221089839935303,-1.8049830198287964,-3.886733055114746,-0.9310095906257629,-3.8392183780670166,-0.8870918154716492,-3.5092833042144775,-1.897194266319275,-4.38377046585083,-2.002817153930664,-4.131443023681641
The hidden convertible is small.,The hid convertible is small.,-51.956525802612305,-66.3065185546875,-1.3877938985824585,-4.179305553436279,-2.0954947471618652,-4.1279988288879395,-0.7516557574272156,-4.186256408691406,-1.1109733581542969,-3.7973337173461914,-1.7919092178344727,-4.788213729858398,-2.1231653690338135,-4.77520751953125
Heather wouldn't know a guy that Mary hasn't concealed.,Heather wouldn't know who Mary hasn't concealed a guy.,-88.3175573348999,-85.53148174285889,-3.062861919403076,-3.763087749481201,-2.490065574645996,-3.72811222076416,-1.825578212738037,-3.328230381011963,-1.6887710094451904,-3.4124696254730225,-1.2752076387405396,-3.566767692565918,-1.1527879238128662,-3.471160650253296
Peter's oncologist does heal a few displeased grandsons and Eva does heal a lot.,Peter's oncologist does heal a few grandsons and Eva does heal a lot displeased.,-158.14908504486084,-154.30799293518066,-1.1119829416275024,-3.2550177574157715,-1.167737603187561,-3.2891688346862793,-0.7116909623146057,-3.308953285217285,-0.8244032859802246,-3.1993765830993652,-1.8784489631652832,-3.902021884918213,-1.9639923572540283,-3.657881021499634
Many guys forgot Anna.,Many guys forgotten Anna.,-54.200849533081055,-62.21573829650879,-2.0169944763183594,-3.0229310989379883,-2.060450315475464,-3.072706937789917,-0.9396954774856567,-2.8428220748901367,-1.0542112588882446,-2.6920313835144043,-1.998738169670105,-4.262791633605957,-2.683692455291748,-4.377583980560303
Christina should drive to that museum.,Christina should drive to that museums.,-59.20918273925781,-65.13872528076172,-2.49710750579834,-4.380875587463379,-2.909067392349243,-4.641669273376465,-1.0092488527297974,-3.6677818298339844,-1.1581884622573853,-3.7335400581359863,-1.5530601739883423,-3.788146495819092,-1.6916528940200806,-3.887549877166748
Anna walks through these purple oases.,Anna walks through this purple oases.,-65.68072509765625,-72.95921325683594,-2.358070135116577,-4.328701019287109,-2.2353227138519287,-4.313894271850586,-0.8706609606742859,-3.8412888050079346,-0.9005047678947449,-3.77030348777771,-0.9235776662826538,-4.379957675933838,-0.8787776231765747,-4.349392890930176
Phillip isn't confusing himself.,Phillip isn't confusing itself.,-47.97058725357056,-52.76891469955444,-3.7281088829040527,-4.012901782989502,-3.412311553955078,-3.960749626159668,-3.280179977416992,-4.245738983154297,-2.7883262634277344,-4.030464172363281,-1.234061360359192,-4.1211137771606445,-1.18960440158844,-4.306800365447998
Spain is visited.,Spain is profited.,-36.96778869628906,-49.33077812194824,-1.2486019134521484,-4.743378639221191,-1.5140416622161865,-3.6663014888763428,-0.7517289519309998,-4.625353813171387,-0.9870038628578186,-3.568790912628174,-2.0435595512390137,-4.221884250640869,-2.5003347396850586,-4.0717926025390625
Some committees weren't revealing what the pedestrian drops by.,Some committees weren't revealing that the pedestrian drops by.,-97.65143585205078,-96.74186420440674,-3.302708387374878,-4.1640167236328125,-3.0819711685180664,-3.698674201965332,-1.8569728136062622,-3.9660263061523438,-1.6615909337997437,-3.493103504180908,-1.4677759408950806,-4.194464206695557,-1.1915342807769775,-4.05815315246582
Heather might know what every window that exists resembled.,Heather might know that every window that exists resembled.,-90.25833511352539,-86.75024509429932,-2.959676742553711,-3.841428756713867,-3.432252883911133,-3.367259979248047,-1.7540597915649414,-3.5984792709350586,-2.2837307453155518,-3.1828901767730713,-1.2559581995010376,-3.587005138397217,-1.2795072793960571,-3.14970064163208
Julia referenced herself.,Julia referenced itself.,-49.01508808135986,-53.7996768951416,-1.8403195142745972,-4.017794609069824,-3.146686553955078,-3.6604137420654297,-0.7701525092124939,-4.042236804962158,-1.506895661354065,-3.553915500640869,-1.2775814533233643,-4.306606292724609,-2.2233219146728516,-4.319985389709473
The Impressionists were fixing those gray teeth.,The Impressionists were fixing those gray tooth.,-86.99239730834961,-96.07986450195312,-2.348541259765625,-3.689767837524414,-2.861691474914551,-2.8816452026367188,-1.101889967918396,-3.217505931854248,-1.7209371328353882,-2.6306443214416504,-1.7013696432113647,-3.641181468963623,-1.9778096675872803,-3.613412618637085
Lawrence hasn't walked through the bank.,Lawrence haven't walked through the bank.,-61.419779777526855,-66.48374319076538,-2.33314847946167,-3.453442096710205,-1.7688382863998413,-2.763479709625244,-1.2552579641342163,-3.039102077484131,-1.19636869430542,-2.5121512413024902,-1.2347923517227173,-3.8010706901550293,-1.6791720390319824,-3.7390284538269043
That person wasn't stunning those adults.,That person wasn't stunning that adults.,-74.24879455566406,-74.385986328125,-3.241485595703125,-4.052900314331055,-3.2453699111938477,-3.7276229858398438,-2.025550127029419,-3.708875894546509,-2.5813097953796387,-3.782052516937256,-1.1452966928482056,-4.0914788246154785,-1.3086531162261963,-3.8348543643951416
It's himself that Steve discussed.,It's himself that discussed Steve.,-62.33283519744873,-66.79356479644775,-3.319240093231201,-4.144883632659912,-2.6785104274749756,-3.606139898300171,-1.4086520671844482,-3.100903272628784,-1.0979063510894775,-3.142714738845825,-2.2919106483459473,-4.085400104522705,-2.2588958740234375,-3.7494001388549805
No patient had scanned fewer than eight essays.,No patient had scanned at most eight essays.,-74.10504055023193,-73.50069808959961,-1.72272789478302,-2.1828365325927734,-2.332169532775879,-2.0908212661743164,-1.2146238088607788,-3.209886074066162,-1.466444730758667,-2.9410178661346436,-1.0303144454956055,-4.394439697265625,-1.6966631412506104,-3.97784161567688
Those drivers got a job.,Those drivers gotten a job.,-42.74253845214844,-49.07711219787598,-1.829911470413208,-3.829089403152466,-2.085904359817505,-3.8497002124786377,-0.6937164664268494,-3.4485268592834473,-0.9076129794120789,-3.2793667316436768,-1.4211835861206055,-4.228237152099609,-1.4379327297210693,-4.128192901611328
David hadn't thought about himself fleeing from every guest.,David hadn't thought about himself fled from every guest.,-84.82168674468994,-87.29361200332642,-2.8499581813812256,-3.5305335521698,-2.4707937240600586,-3.252264976501465,-1.1551517248153687,-2.7888436317443848,-1.1563712358474731,-2.8243980407714844,-1.6428637504577637,-3.4581542015075684,-1.7498986721038818,-3.6663787364959717
The Clintons boast about these hypotheses.,The Clintons boast about these hypothesis.,-67.44841289520264,-70.98022270202637,-3.08856463432312,-4.426651954650879,-2.8844640254974365,-4.140985488891602,-1.4303481578826904,-4.038643836975098,-1.349233627319336,-3.9388561248779297,-1.1504755020141602,-4.655068397521973,-1.1625185012817383,-4.483379364013672
Who aren't Natalie's electricians that criticized Carolyn's colleagues disturbing?,Who aren't Carolyn's colleagues disturbing Natalie's electricians that criticized?,-133.69300651550293,-136.78403854370117,-2.5050196647644043,-1.8162693977355957,-2.689635753631592,-1.9643474817276,-2.0511579513549805,-1.610798954963684,-2.2185540199279785,-1.83450448513031,-3.1750540733337402,-4.840893268585205,-3.4325194358825684,-4.982150554656982
The forgotten dancer is troubled.,The forgot dancer is troubled.,-64.77404594421387,-78.6137924194336,-1.826989769935608,-4.331679821014404,-2.2098703384399414,-3.952265739440918,-0.8997998237609863,-4.101003170013428,-1.0984398126602173,-3.569706439971924,-1.9877229928970337,-4.753620624542236,-2.0089194774627686,-4.566946983337402
The forgotten commentaries were long.,The forgot commentaries were long.,-67.2689561843872,-78.43708229064941,-2.712599039077759,-3.598891496658325,-3.423171043395996,-3.8306503295898438,-1.550349473953247,-3.5487406253814697,-1.6845601797103882,-3.5509324073791504,-1.256670594215393,-4.824143886566162,-1.2488031387329102,-4.774625778198242
Should Dawn ever exit hills?,Dawn should ever exit hills.,-60.2288818359375,-71.31262683868408,-2.1832592487335205,-2.5384361743927,-2.8003718852996826,-3.0262439250946045,-1.3085895776748657,-2.249756336212158,-1.537352442741394,-2.8945560455322266,-3.472459316253662,-6.042524814605713,-1.4553052186965942,-4.503631591796875
Every girl boasted about at most four waiters.,No girl boasted about at most four waiters.,-85.2149486541748,-79.9882984161377,-2.0681748390197754,-3.0299744606018066,-2.736100196838379,-2.2223920822143555,-1.1305859088897705,-2.886897325515747,-1.8842533826828003,-2.943222999572754,-1.2938461303710938,-4.057967185974121,-1.47551691532135,-3.6200718879699707
The Impressionists have changed.,The Impressionists have dropped by.,-56.01736354827881,-61.14278793334961,-4.503568649291992,-3.9570446014404297,-2.0348927974700928,-4.4667510986328125,-2.641007423400879,-4.070440292358398,-0.9240254759788513,-4.116242408752441,-1.823227047920227,-3.8977651596069336,-1.2108482122421265,-3.9027562141418457
The feet tip over.,The foot tip over.,-58.47301959991455,-65.71128845214844,-1.131340503692627,-3.3911728858947754,-3.457855224609375,-3.9699277877807617,-0.758682906627655,-3.1999013423919678,-2.598430633544922,-3.751641273498535,-1.782273769378662,-4.206821918487549,-1.866987943649292,-3.338881254196167
Many customers talk about that delighted child.,Many customers talk about those delighted child.,-64.15872192382812,-71.69637298583984,-1.386051893234253,-3.154100179672241,-2.8567795753479004,-3.3961052894592285,-0.6663423776626587,-3.249485492706299,-1.6785173416137695,-3.195852279663086,-1.634736180305481,-3.953080177307129,-1.8973736763000488,-3.8144965171813965
Katherine found out that that cashier didn't sell some ice cream.,Katherine found out what that cashier didn't sell some ice cream.,-103.43635272979736,-114.97620964050293,-3.270181655883789,-5.265652656555176,-2.0687081813812256,-4.46385383605957,-1.9243658781051636,-4.58437442779541,-1.0857369899749756,-4.291001319885254,-1.1781412363052368,-3.899524211883545,-1.270237684249878,-4.120095252990723
That mirror is cleaned by the dancer.,That mirror is cleaned by the muffins.,-61.98241424560547,-63.91293811798096,-1.5089061260223389,-4.399267196655273,-2.023374557495117,-3.6652936935424805,-0.8489074110984802,-4.387154579162598,-1.2482523918151855,-3.188594341278076,-1.3979953527450562,-4.666001796722412,-1.8014662265777588,-4.119555473327637
Dawn is disgusting herself.,Dawn is disgusting itself.,-52.342529296875,-53.26377296447754,-1.3546440601348877,-3.5162107944488525,-1.500216007232666,-3.56257963180542,-0.6735855340957642,-3.2736830711364746,-0.8514906167984009,-3.3186802864074707,-1.5456520318984985,-4.3085036277771,-1.712554931640625,-4.264252662658691
Harvard University impressed itself.,Harvard University impressed themselves.,-54.065969467163086,-55.34234046936035,-1.972198724746704,-3.4720213413238525,-1.589996099472046,-3.9619510173797607,-0.912260115146637,-3.694819450378418,-0.6422141194343567,-4.37471342086792,-1.338771104812622,-5.049982070922852,-1.4056705236434937,-5.186855792999268
Stacy finds out who these companies do listen to.,Stacy finds out that these companies do listen to.,-92.77701091766357,-93.30503559112549,-1.8758749961853027,-4.193241596221924,-2.508769989013672,-4.084234237670898,-0.8366805911064148,-3.6726973056793213,-1.4139469861984253,-3.8585205078125,-0.966744065284729,-4.259048938751221,-0.8352149724960327,-4.090033054351807
Jane had remembered herself.,Jane had remembered himself.,-50.738525390625,-54.414052963256836,-1.4024014472961426,-3.393592357635498,-1.801821231842041,-3.654789447784424,-0.6802188158035278,-3.4680871963500977,-0.7544538378715515,-3.352937936782837,-1.4494210481643677,-4.0316009521484375,-1.5369657278060913,-3.954322338104248
That school that has bothered a lot of girls talks about some boy.,That school that has bothered a lot of girls talk about some boy.,-95.2219591140747,-96.34240531921387,-2.271040201187134,-2.8021891117095947,-2.5782406330108643,-3.1676390171051025,-1.390412449836731,-2.7472658157348633,-1.6453642845153809,-2.9879612922668457,-2.277416467666626,-4.031116485595703,-2.4238038063049316,-4.132225513458252
Many guests describe Amanda.,Many guests describes Amanda.,-56.799020767211914,-61.89076900482178,-5.058654308319092,-5.885148525238037,-2.9473495483398438,-4.753802299499512,-3.3037214279174805,-5.641023635864258,-1.541564702987671,-4.428542137145996,-1.0834378004074097,-4.691137313842773,-1.2892037630081177,-4.456122398376465
Carmen isn't researching those newspaper articles that April isn't arguing about that haven't aggravated these girls.,Carmen isn't researching who those newspaper articles that April isn't arguing about haven't aggravated these girls.,-148.45301342010498,-157.64770698547363,-3.124460220336914,-3.9332008361816406,-3.338230848312378,-3.670180082321167,-2.2439541816711426,-3.8617968559265137,-1.9811302423477173,-3.7223219871520996,-1.445805311203003,-3.2957160472869873,-1.676651120185852,-3.4446516036987305
Tina shouldn't take three orange mountains and Elizabeth's guests shouldn't take almost as many.,Tina shouldn't take three mountains and Elizabeth's guests shouldn't take almost as many orange.,-128.95496034622192,-134.88031101226807,-1.672116994857788,-3.350654363632202,-2.0405898094177246,-3.249907970428467,-1.0496572256088257,-3.524453639984131,-1.2857145071029663,-3.322662830352783,-1.2687045335769653,-3.529740333557129,-1.3615562915802002,-3.42687726020813
All hills aren't exciting to arrive at.,All hills aren't apt to arrive at.,-79.4080810546875,-77.50627040863037,-2.869283676147461,-3.0066909790039062,-2.2959165573120117,-3.0251073837280273,-1.4129583835601807,-2.798619508743286,-1.096267580986023,-3.139817237854004,-2.0656871795654297,-4.127704620361328,-1.7045267820358276,-3.8083629608154297
Most women who aren't praising Regina will sound like themselves.,Most women who aren't praising Regina will sound like herself.,-91.22337341308594,-93.16403388977051,-2.364785671234131,-3.594486713409424,-2.312551975250244,-3.4423861503601074,-1.45454740524292,-3.649448871612549,-1.601438045501709,-3.649231433868408,-2.136608600616455,-4.41642427444458,-2.1859238147735596,-4.346946716308594
