prefix,continuation,direct_log_prob,MetaQuestionSimple_log_prob,MetaInstruct_log_prob,MetaQuestionComplex_log_prob
"A shoe is clothing for the foot, with a sole, an outsole and a",heel,-19.820331573486328,-18.25531005859375,-17.80686378479004,-19.128690719604492
Eagles are large birds of prey that hunt during the day and have very good,eyesight,-10.266016006469727,-8.362314224243164,-8.047371864318848,-13.265368461608887
"A banana when ripe can be yellow, purple or red and have small brown",spots,-7.671046257019043,-6.940247058868408,-6.704808235168457,-18.989423751831055
There are usually chairs around a table for people to,sit,-2.611833333969116,-2.3026700019836426,-2.4560225009918213,-12.819491386413574
"Fresh cod is used for fish and chips, salted cod for elaborate",dishes,-6.959923267364502,-6.357782363891602,-6.61499547958374,-13.121232032775879
"Floors may be made of bare concrete, tile, linoleum or wooden",floorboards,-11.370298385620117,-10.278799057006836,-9.704941749572754,-19.549057006835938
Tables are also used as surfaces to work or write,on,-3.8630075454711914,-3.41387939453125,-3.0822505950927734,-10.692180633544922
"A house has a roof and walls to keep out cold and rain, and windows to let light",in,-4.3233208656311035,-3.634941816329956,-3.569817304611206,-9.788283348083496
Blenders are used to make milk shakes and fruit,smoothies,-13.212846755981445,-12.613858222961426,-12.927739143371582,-19.47814178466797
A freight train transports containers of goods or fuel over long,distances,-4.656302452087402,-3.4328768253326416,-4.0052947998046875,-16.1944522857666
A ship is a large vehicle that floats and travels on,water,-6.017268180847168,-4.539422512054443,-4.572085380554199,-11.868206024169922
Coffee contains a mild drug called caffeine that keeps people,awake,-3.097872257232666,-1.3534997701644897,-1.1947592496871948,-15.44403076171875
The earthquake shaking can also trigger landslides and volcanic,activity,-4.024939060211182,-2.255237579345703,-2.5864009857177734,-14.683210372924805
"Elephants are the largest kind of land mammal, weighing several",tons,-7.133243083953857,-8.047639846801758,-8.26101303100586,-15.923737525939941
Girls often like playing with dolls and social,games,-6.267299175262451,-5.590260028839111,-5.514429569244385,-12.550423622131348
In buildings the floor often has pipes and electrical wiring under,it,-5.0200042724609375,-4.167926788330078,-3.906403064727783,-10.618623733520508
"Historically, axe heads were made of stone and then",metal,-8.823389053344727,-7.231880187988281,-6.950631141662598,-12.897342681884766
"Another type of bed is the hammock, a fabric sling suspended above the",ground,-5.741298198699951,-6.092939853668213,-6.36359167098999,-13.496427536010742
"Cod flesh is white and mild-tasting, and flakes easily when",cooked,-9.070344924926758,-7.318840980529785,-6.8420634269714355,-14.161531448364258
A desk may have drawers to store supplies and,papers,-6.068511486053467,-5.807773590087891,-6.054333686828613,-13.836847305297852
The wings of butterflies can be very colorful and,patterned,-16.304691314697266,-17.696500778198242,-17.018648147583008,-19.794939041137695
"In water beds the mattress is filled with water, and in air beds it is filled with",air,-4.209880352020264,-3.7233431339263916,-3.9470291137695312,-8.891793251037598
A clarinet is a woodwind musical,instrument,-0.12434141337871552,-0.3234439790248871,-0.16834574937820435,-12.579391479492188
"Swamps are low, spongy land subject to frequent",inundation,-14.486123085021973,-13.990288734436035,-13.870733261108398,-17.331417083740234
Lettuce is considered fairly easy to grow and a suitable crop for,beginners,-16.05608558654785,-14.932305335998535,-14.726154327392578,-18.871732711791992
"Farms usually have a house for farmers, a silo and a",barn,-5.85167121887207,-5.867198467254639,-6.21805477142334,-13.119474411010742
Scientists publish their research in journals and,conferences,-15.55677604675293,-14.992910385131836,-15.197362899780273,-19.857881546020508
Manhood is associated with masculinity and,virility,-11.296882629394531,-11.32984447479248,-10.778578758239746,-18.26115608215332
A clarinet is a long black tube with a flare at the,bottom,-5.901848793029785,-6.1179704666137695,-5.539182662963867,-15.38950252532959
"An apartment may have one or more rooms, as well as a kitchen and a",bathroom,-4.30162239074707,-3.0940723419189453,-3.6667232513427734,-11.33198070526123
People go to hospitals to be healed when they are sick or,injured,-7.4663286209106445,-8.049787521362305,-7.230843544006348,-16.008342742919922
Blenders have a glass or plastic container with a rotating blade in the,bottom,-6.585611820220947,-6.184311389923096,-6.051517486572266,-15.519697189331055
Pressing a piano key causes a felt-tipped hammer to hit a vibrating steel,string,-8.012768745422363,-8.056842803955078,-7.561086654663086,-12.668612480163574
A cod is a fish that lives in the colder areas of the,Atlantic,-6.916122913360596,-6.31835412979126,-6.4350409507751465,-16.38114356994629
Ravens have large brains and are capable of problem,solving,-0.775309681892395,-0.732300341129303,-0.6863254904747009,-14.422204971313477
Mugs can be plain or have drawings imprinted or carved on,them,-3.4797632694244385,-2.3090412616729736,-2.2756876945495605,-12.720261573791504
The mouth has teeth to chew food and mix it with,saliva,-10.08176040649414,-10.565656661987305,-10.72814655303955,-13.843255043029785
Tropical cyclone can also cause high waves and coastal,flooding,-19.498157501220703,-19.380630493164062,-19.637760162353516,-21.912168502807617
A farm is land used to grow plants or raise animals for,food,-4.003662586212158,-3.99147629737854,-4.250331878662109,-10.863058090209961
A woman is a female human,adult,-7.800220489501953,-8.576501846313477,-8.052709579467773,-15.7454833984375
An accordionist plays both keyboards while opening and closing the,bellows,-19.6538143157959,-17.659299850463867,-16.934202194213867,-18.81985855102539
"The driver steers the car on roads, other passengers just",sit,-6.9450860023498535,-6.668548583984375,-6.125247478485107,-13.791521072387695
"People use their feet when walking, running or standing",straight,-11.136713027954102,-9.76729965209961,-10.322072982788086,-14.082987785339355
A drought is a persistent shortage of the water supply caused by lack of,rain,-7.780709743499756,-5.910219669342041,-6.29626989364624,-10.843255043029785
Hammers vary in the shape of the head and handle,length,-8.806541442871094,-9.258014678955078,-8.819726943969727,-11.867979049682617
A luthier is a carpenter that makes and repairs musical,instruments,-2.061762809753418,-1.4636187553405762,-1.4668718576431274,-15.072031021118164
Murder a serious crime because it deprives the victim of their,existence,-9.333894729614258,-8.338248252868652,-8.866962432861328,-16.867708206176758
A desert is a natural environment where almost no rain,falls,-6.481998443603516,-5.54677677154541,-5.195849895477295,-16.818864822387695
A hammer is most often used to drive nails into,wood,-6.634088039398193,-6.557034492492676,-6.480569362640381,-12.489954948425293
A sweater that opens down the front is called a,cardigan,-19.330280303955078,-20.18489646911621,-20.124834060668945,-21.76681137084961
A mountain is a landform that rises steeply above surrounding,land,-5.532168865203857,-5.628866195678711,-6.174348831176758,-10.98066234588623
Most doors are opened by pushing or pulling a handle after they are,unlocked,-16.566783905029297,-16.857282638549805,-16.375629425048828,-18.4625186920166
Murder is the unlawful killing of another human being with,intent,-4.777159690856934,-4.157890796661377,-3.6338577270507812,-14.433436393737793
"Tomatos can be used to make salads, soup or ketchup, as well as",sauce,-7.6014404296875,-6.909786701202393,-7.297216892242432,-11.729704856872559
Female mosquitos bite people and animals and suck their blood for,protein,-12.542094230651855,-13.257020950317383,-14.091493606567383,-13.604161262512207
"A mug is normally ceramic, but can also be made of metal or",glass,-5.28466272354126,-4.846934795379639,-5.0580949783325195,-10.333587646484375
A violinist holds the instrument between the chin and the,collarbone,-16.21137809753418,-16.58193016052246,-15.967292785644531,-19.691083908081055
"The train is pulled by a locomotive, powered by diesel or",electricity,-7.0006818771362305,-6.459300518035889,-5.9788994789123535,-13.270675659179688
The mouth is the face cavity we put food in when we,eat,-3.9522805213928223,-4.171257972717285,-3.807008743286133,-10.065939903259277
The clarinet is used both in jazz and classical,music,-2.7652599811553955,-3.0112712383270264,-2.3693430423736572,-9.243160247802734
Screwdrivers can also be used to remove screws after they are,inserted,-6.276159763336182,-5.795683860778809,-5.801639556884766,-15.311514854431152
Some native people still use the spear for hunting and,fishing,-8.429072380065918,-6.380373477935791,-7.221677780151367,-13.014676094055176
"An automobile, or car, is a wheeled vehicle for transporting",passengers,-5.820728302001953,-3.291746139526367,-3.926107883453369,-15.532530784606934
"Cats can hunt mice or birds, but are often fed by their",owners,-5.871969699859619,-5.081716537475586,-5.086273670196533,-17.868181228637695
"Shoes are usually made of leather, canvas, rubber or",plastic,-5.8844380378723145,-5.7568535804748535,-5.814931392669678,-12.431805610656738
"The apartment building can have a garage, a laundry facility or extra storage",space,-5.732758522033691,-5.952276229858398,-5.4075751304626465,-11.885424613952637
"Cars vary in size, number of doors and the type of",trunk,-10.213653564453125,-6.119257926940918,-7.135679721832275,-15.457573890686035
The nail protects the tip of the finger and can be grown or,decorated,-9.533650398254395,-9.618349075317383,-9.985214233398438,-16.124435424804688
"The tomato is a shiny and smooth red fruit, with a savory",taste,-5.038944244384766,-4.535953521728516,-4.677247524261475,-13.863238334655762
Theft is a crime and can be punishable with jail or,fines,-22.01106071472168,-22.974205017089844,-23.065793991088867,-20.734237670898438
Drunk driving of any vehicle is a crime in most of the,world,-4.608087539672852,-4.120681285858154,-4.350136756896973,-14.109670639038086
"A horse is a large hoofed mammal with four long, muscular",legs,-3.6631040573120117,-3.0192928314208984,-3.012021541595459,-14.151785850524902
A refrigerator can have shelves and small compartments for different types of,food,-4.3382697105407715,-3.6774332523345947,-3.861586093902588,-11.925346374511719
"Rain is water that falls from clouds in the sky, which are condensed",vapor,-9.899436950683594,-9.837438583374023,-9.228411674499512,-16.039445877075195
"Scissor blades are usually metallic, with plastic or metal",handles,-7.5772294998168945,-7.161238193511963,-7.241045951843262,-16.167619705200195
A carpenter is an artist or manual laborer who works with,wood,-6.4710612297058105,-5.584603309631348,-5.993010520935059,-13.564151763916016
"Cod has been caught, salted and traded since the time of the",Vikings,-18.705699920654297,-18.212936401367188,-18.026466369628906,-17.407865524291992
Pop-up toasters toast the bread placed in a slot and eject it once,done,-6.901855945587158,-7.805849075317383,-7.274870872497559,-13.865276336669922
"Hospitals are staffed by professional physicians, surgeons, and",nurses,-21.739864349365234,-19.916229248046875,-19.65899085998535,-19.251258850097656
Sweaters are often knitted from wool but cotton is also,common,-7.813233375549316,-6.083734035491943,-6.492260932922363,-13.285041809082031
"A fork is a tool for eating solid foods, with a handle and several",tines,-16.533367156982422,-17.56118392944336,-17.10938835144043,-21.54935073852539
"Eagles have hooked beaks for tearing flesh, strong legs and sharp",talons,-16.66046905517578,-15.982355117797852,-16.07183837890625,-20.05143928527832
A car can be powered by a gasoline or electric,engine,-3.3490819931030273,-2.368997812271118,-2.43341064453125,-11.063813209533691
"A horse has a tail and a mane on its neck, and is usually gray or",brown,-6.374011993408203,-5.50956916809082,-6.047399044036865,-9.525760650634766
"A banana is a long fruit that grows in bunchs, with a soft edible",inside,-8.45228099822998,-8.71214485168457,-8.385973930358887,-14.67182445526123
Academic libraries support scholarly research and have specialized,books,-11.671293258666992,-8.733932495117188,-8.254563331604004,-11.730742454528809
A toaster is a kitchen appliance for toasting bread using heating,elements,-6.93464469909668,-6.382600784301758,-5.896236419677734,-16.633634567260742
Feet are body parts at the end of a,legs,-11.57088565826416,-8.037817001342773,-7.881948471069336,-13.0092191696167
A flood is an overflow of an expanse of water that submerges inhabited,land,-4.461672782897949,-4.303676128387451,-4.9230194091796875,-13.643895149230957
Piranhas live and attack in schools and are most active during the,day,-6.801272392272949,-6.28933048248291,-6.829137325286865,-11.53937816619873
"A frying pan is used to fry, sear and brown",food,-7.0283589363098145,-7.67368745803833,-6.906408309936523,-11.226998329162598
Orange juice is often drunk at breakfast from a,glass,-9.241212844848633,-9.822667121887207,-10.335216522216797,-13.33268928527832
The piano is a popular musical instrument played by means of a,keyboard,-5.782381534576416,-6.14237117767334,-5.70982551574707,-12.163480758666992
Some windows have multiple panes to increase insulation,inside,-9.692475318908691,-8.893023490905762,-8.578315734863281,-14.01215648651123
A man is a male human,adult,-8.467218399047852,-8.919899940490723,-8.461872100830078,-15.977558135986328
Speech sounds are controlled by tongue placement in the,mouth,-5.365236759185791,-5.334009170532227,-5.312270164489746,-12.5458345413208
"Toaster ovens have a door on the side, a tray within and temperature",control,-4.771178245544434,-3.044680595397949,-3.324122905731201,-13.81873607635498
A hand grenade is an explosive used as a weapon against,people,-7.387872695922852,-6.44557523727417,-6.426899433135986,-14.978363990783691
A scientist studies and produces new knowledge about the physical,world,-5.681602954864502,-5.492315292358398,-4.662246227264404,-12.567136764526367
The elephant flaps its large ears to cool the blood in them and its,body,-8.311448097229004,-7.9975266456604,-7.969797134399414,-12.441434860229492
"A house can have rooms for purposes like sleeping, cooking or",washing,-7.873385906219482,-7.945908546447754,-7.708155632019043,-15.91690731048584
Lentils are the seeds of a plant of the legume,family,-4.225998878479004,-2.215386390686035,-1.8121588230133057,-15.320365905761719
"Vultures seldom attack healthy animals, but may kill the wounded or",sick,-11.26230525970459,-7.649960517883301,-8.187347412109375,-12.29525089263916
A mitten is a kind of glove where the four fingers are covered,together,-9.502317428588867,-8.430989265441895,-9.025528907775879,-14.862431526184082
"Walls are usually made of stone, brick, or cement, as well as",drywall,-13.238262176513672,-12.46624755859375,-12.656723976135254,-12.979736328125
A bicycle is a vehicle with two wheels and pedals on a,frame,-4.60313081741333,-3.7657973766326904,-3.662186622619629,-14.087270736694336
Water freezes at a low temperature and becomes solid,ice,-7.636560440063477,-7.159930229187012,-8.470246315002441,-10.420398712158203
"A man differs from a woman in height, weight, and body",structure,-7.225456714630127,-6.395694732666016,-6.202026844024658,-16.34982681274414
Violin is the smallest and highest pitched instrument in its,family,-6.515563488006592,-3.7031924724578857,-3.952143907546997,-13.782803535461426
"Salmon can be eaten raw in sushi or cooked by grilling, poaching or in other",ways,-4.264515399932861,-4.308103084564209,-3.8090460300445557,-15.604738235473633
Some people collect butterflies because of their colorful,wings,-9.070261001586914,-5.656418800354004,-4.996038913726807,-15.031168937683105
The bald eagle has a bright white head and is the national bird of the United,States,-2.7024872303009033,-2.6209747791290283,-2.5281982421875,-12.691707611083984
Frying pans are made of iron or teflon-clad,steel,-8.470385551452637,-8.926127433776855,-9.106751441955566,-14.546341896057129
"Some apartments are for single people, others for",families,-10.235373497009277,-8.038924217224121,-8.445804595947266,-16.095462799072266
Many vultures have a bald head without feathers for losing,heat,-9.285898208618164,-9.656648635864258,-10.163542747497559,-16.044157028198242
Televisions are mostly used for watching programs or,films,-7.2046661376953125,-6.51174783706665,-6.344900608062744,-11.515798568725586
Some very tart apples are used to make,cider,-10.713722229003906,-10.603560447692871,-10.738390922546387,-16.297204971313477
A house is a permanent building or structure for people or families to live,in,-3.3593862056732178,-3.0392282009124756,-2.7258646488189697,-9.54826831817627
Drunk drivers are caught by field sobriety and breathing,tests,-8.857852935791016,-8.632354736328125,-7.631128787994385,-16.152698516845703
"Coffee is a popular drink in many countries, and usually served",hot,-7.51209020614624,-4.867318630218506,-4.3727006912231445,-13.170960426330566
Lentils are commonly used in Indian and Mediterranean,cuisines,-17.50305938720703,-16.362295150756836,-16.804269790649414,-15.263934135437012
Salmon is a fish that migrates from fresh water to the ocean and back to,spawn,-10.559952735900879,-10.799764633178711,-11.36194896697998,-15.029985427856445
Lettuce is a biennial plant often grown in temperate climates as a leaf,vegetable,-5.137982368469238,-4.033441066741943,-3.984313488006592,-12.510890007019043
Industrial espionage is theft of ideas and intellectual,property,-6.4701690673828125,-5.612843990325928,-5.975710868835449,-15.218401908874512
At puberty the body of a girl develops into that of a,woman,-4.895497798919678,-5.128353118896484,-5.05198860168457,-11.148316383361816
Ships are used to fish in the ocean and to transport cargo,containers,-12.130816459655762,-12.228835105895996,-12.162857055664062,-16.40928077697754
"A desk has a flat surface and can be made of wood, plastic or",metal,-4.432587623596191,-4.376774787902832,-4.585947036743164,-10.895151138305664
"Physics, chemistry and biology are classic examples of",sciences,-17.08757972717285,-18.23715591430664,-16.603729248046875,-23.329008102416992
Deforestation is the cutting down of forests disregarding,regeneration,-16.73344612121582,-15.470597267150879,-15.126503944396973,-18.333009719848633
The small sharp points along the cutting side of the saw are called the,teeth,-10.593974113464355,-10.553314208984375,-9.613835334777832,-13.06579303741455
A door is a movable barrier to entrance or exit from an enclosed,area,-4.066336631774902,-2.888307571411133,-2.9529080390930176,-13.342409133911133
"Chairs consist of a seat raised above floor level, supported by",legs,-9.182794570922852,-7.230572700500488,-7.296362400054932,-13.580154418945312
Insects have compound eyes made up of eye units facing in many,directions,-3.3580162525177,-2.175321102142334,-2.176954507827759,-15.572437286376953
A dress is a piece of clothing that women sometimes,wear,-2.5690178871154785,-2.4909110069274902,-2.3444058895111084,-12.294266700744629
Many cultures have rules for behavior related to,feet,-11.827631950378418,-14.412960052490234,-14.418963432312012,-15.425859451293945
The two major types of screwdriver are Phillips and,flathead,-11.624268531799316,-10.631258964538574,-10.678750991821289,-17.72469711303711
"A dress is like a shirt attached to a long, matching",skirt,-5.476866722106934,-4.82963228225708,-4.997038841247559,-13.29886245727539
A scientist creates hypotheses and does experiments to test,them,-4.811389923095703,-3.718977928161621,-4.2890729904174805,-14.076417922973633
A chair is a piece of furniture designed for people to sit,on,-3.733534812927246,-2.3647303581237793,-2.2852015495300293,-10.785619735717773
Axes are used by woodcutters and firemen entering,buildings,-7.099776744842529,-6.5529937744140625,-6.684561252593994,-15.463661193847656
A bicycle is propelled by the pedalling of a cyclist on the,saddle,-11.19893741607666,-9.63178539276123,-9.283084869384766,-16.395723342895508
A forest is an area with a high density of trees and canopy,cover,-7.025177001953125,-10.879172325134277,-9.52901554107666,-14.921083450317383
The fovea is the center of the human eye and the most sensitive part of,it,-7.8055291175842285,-6.795819282531738,-7.579113960266113,-9.79810905456543
The claws of cats are retractable so that they keep,sharp,-10.255642890930176,-11.280116081237793,-11.294790267944336,-13.772822380065918
A woman can become pregnant and bear,children,-7.910952568054199,-5.6514892578125,-6.158144950866699,-14.637514114379883
People can go to public libraries and borrow books to take home for several,weeks,-5.357935428619385,-4.014801025390625,-4.867324352264404,-15.539259910583496
Some refrigerators can have a small compartment at freezing,temperature,-5.761436939239502,-5.587611675262451,-5.044608116149902,-13.147174835205078
A soldier is a member of the national armed forces who fights on,land,-8.503010749816895,-7.57305908203125,-8.277656555175781,-14.036561012268066
"When open, a window will also let air and sound",through,-6.67020320892334,-4.080069541931152,-4.2949934005737305,-13.811986923217773
Farmers are the people who run the farm and decide what to,produce,-4.603414535522461,-4.597347736358643,-4.994388103485107,-13.58420467376709
"A forest ecosystem has various types of trees and animals, as well as ground",plants,-5.977181434631348,-4.064099311828613,-3.9426581859588623,-12.35744571685791
A range of mountains forms due to tectonic plate,collision,-7.8151750564575195,-8.198881149291992,-8.201703071594238,-16.653011322021484
Some animals and plants have adapted to live in,deserts,-14.142420768737793,-14.08757495880127,-13.987363815307617,-19.527738571166992
"Sweaters differ in cut, collar and sleeve shape, as well as",decoration,-11.741859436035156,-10.242575645446777,-10.570842742919922,-16.04006576538086
"Lentils can be red, green, brown, black or",yellow,-5.3646063804626465,-5.440486431121826,-5.255866050720215,-9.01468563079834
A table is a piece of furniture with a flat surface and,legs,-11.324100494384766,-8.74919605255127,-8.406221389770508,-15.377062797546387
"Mosquito bites can spread yellow fever, malaria and other parasite",diseases,-4.029353141784668,-3.1199288368225098,-3.068582534790039,-15.872726440429688
A peach is an orange-yellow fruit with a characteristic,smell,-11.068708419799805,-10.157512664794922,-10.21406078338623,-15.496443748474121
The screwdriver tip applies the torque from rotating the,handle,-8.533262252807617,-6.533644676208496,-6.827883243560791,-15.446907043457031
Most people leave the house to work and come back at night to eat and,sleep,-3.966468095779419,-4.98208475112915,-4.508208751678467,-11.425816535949707
Vultures use their large wings to soar for miles without,flapping,-17.82486343383789,-15.465386390686035,-14.82498836517334,-21.115604400634766
Assault rifles can fire in bursts and are the standard infantry,weapon,-4.017637252807617,-2.6204729080200195,-2.757913589477539,-10.738168716430664
A soldier fights using weapons such as rifles and,grenades,-19.94365882873535,-20.578567504882812,-20.419971466064453,-21.990388870239258
Spiders are insects with eight legs that make,silk,-14.933127403259277,-14.560616493225098,-14.353575706481934,-16.71678924560547
"Fingers are used for grasping, writing, grooming and other",activities,-4.959794998168945,-4.821860313415527,-4.889487266540527,-15.089621543884277
The bicycle wheels have rubber tires with an inner tube full of,air,-10.015754699707031,-9.617834091186523,-9.630680084228516,-14.43153190612793
"Apples can be eaten raw, roasted or baked in",pies,-18.33793830871582,-18.255651473999023,-18.3564510345459,-18.3494930267334
Raspberries are eaten by themselves or cooked with sugar into,jam,-9.077960014343262,-8.574116706848145,-8.251005172729492,-13.224127769470215
Igloos are built in places where snow covers the land most of the,time,-4.024874210357666,-3.0514039993286133,-3.2581043243408203,-12.234390258789062
A boy becomes a man after passing through,puberty,-12.83542537689209,-11.799989700317383,-11.867302894592285,-17.739294052124023
Earthquakes shake the ground and can knock down buildings and other,structures,-4.5646071434021,-3.1273295879364014,-3.2542953491210938,-15.919990539550781
For some operations or treatments patients have to stay at the hospital for several,weeks,-4.810608863830566,-3.5677549839019775,-4.160802841186523,-15.917557716369629
"Walls delineate a building, support the roof, and divide the space into",rooms,-8.344592094421387,-7.365200042724609,-7.265148639678955,-11.750795364379883
"Peaches have a large, red-brown stone inside which contains the",seed,-10.84395980834961,-9.164530754089355,-8.61474895477295,-13.86478328704834
"An elephant has a long nose called a trunk, which can grab things or",food,-12.696791648864746,-10.5147123336792,-10.32889175415039,-11.902099609375
Cyclones can produce very powerful winds and torrential,rain,-9.398346900939941,-6.055371284484863,-6.309749126434326,-11.526183128356934
"Plants, animals and people must drink water in order to",live,-5.022333145141602,-4.539238929748535,-3.89540433883667,-12.867398262023926
"Salmon is the most common farmed fish, though it can also be caught in the",wild,-4.5885114669799805,-4.507164478302002,-4.510038375854492,-12.4681978225708
Commuter trains transport people between suburbs and stations inside a,city,-6.314478874206543,-5.661577224731445,-5.779963493347168,-11.291487693786621
A hammer is a tool used to deliver an impact to an,object,-4.1645684242248535,-3.672823667526245,-3.0506696701049805,-11.786236763000488
"Orange juice has a sweet, acid taste and contains a lot of vitamin",C,-3.085986375808716,-2.5729308128356934,-2.7803688049316406,-7.773636817932129
"A floor is a horizontal surface inside a building, used for walking",on,-6.09739875793457,-4.890119552612305,-4.923692226409912,-10.714439392089844
The food is cooked on oil covering the bottom of the frying,pan,-3.020902633666992,-2.8177483081817627,-2.653001070022583,-12.473684310913086
"Most lettuce leaves taste bitter, but some are bred to remove the",bitterness,-19.29100227355957,-19.59906005859375,-19.67120361328125,-18.814298629760742
"Lettuce can be eaten cold and raw, in salads and other dishes, or",cooked,-8.2037353515625,-6.5556440353393555,-6.689123630523682,-11.603792190551758
A window is a transparent opening in a wall to let light,through,-5.089681148529053,-4.635349750518799,-4.651538372039795,-13.858830451965332
Accordions produce sound with bellows that blow air through,reeds,-16.92721176147461,-15.51287841796875,-15.338339805603027,-19.41426658630371
A log cabin is a small house built from round,logs,-6.847885608673096,-5.773656845092773,-5.670794486999512,-11.78261661529541
An earthquake at sea can displace the seabed and cause a,tsunami,-19.627206802368164,-18.619760513305664,-19.18147087097168,-20.044343948364258
Spiders use venomous fangs to paralyse their stuck,prey,-7.198504447937012,-6.724791526794434,-6.828494548797607,-16.366039276123047
Mountaineers are people who climb or hike up,mountains,-4.915781021118164,-3.724177837371826,-3.7951998710632324,-9.353096961975098
"The greatest producers are tropical countries, such as India or",Ecuador,-22.488142013549805,-21.627182006835938,-21.390302658081055,-19.469654083251953
The eye is an organ for sensing light and coding it for the visual,cortex,-22.57819938659668,-21.34695816040039,-21.917634963989258,-18.706745147705078
"Most sharks predate on fish and mammals, with powerful",jaws,-22.71251678466797,-21.591650009155273,-21.635974884033203,-21.594459533691406
"Piranhas eat fish, insects, lizards, mammals and",carrion,-20.072912216186523,-18.97183609008789,-18.962656021118164,-17.76769256591797
Women's shoes often have high heels and come in many styles and,colors,-5.455912113189697,-3.4240267276763916,-3.463442802429199,-15.721434593200684
Whales breathe through blowholes on their heads when,surfacing,-16.651636123657227,-16.127552032470703,-16.22188949584961,-21.018091201782227
A cooperative is a farm where many farmers share the land and,equipment,-10.506258010864258,-9.58304500579834,-10.59260368347168,-17.954172134399414
The clarinet player chooses notes by pressing keys and,holes,-12.11155891418457,-11.071537017822266,-10.848271369934082,-15.830321311950684
A sweater is a heavy garment worn on the torso for,warmth,-10.066434860229492,-8.428180694580078,-8.94301986694336,-18.414440155029297
"A bed is made of a mattress and a box spring, plus sheets, pillows and",covers,-7.199461936950684,-7.372759819030762,-7.315544128417969,-14.707752227783203
Coffee is the world's seventh-largest legal agricultural,export,-7.400214672088623,-6.793845176696777,-6.6733808517456055,-14.22579574584961
"A swamp is covered with shallow water, mud and",vegetation,-16.962316513061523,-16.56618309020996,-16.381864547729492,-17.975425720214844
