good_sentence,bad_sentence,direct_log_prob_good,direct_log_prob_bad,MetaQuestionSimple_log_prob_good,MetaQuestionSimple_log_prob_bad,MetaInstruct_log_prob_good,MetaInstruct_log_prob_bad,MetaQuestionComplex_log_prob_good,MetaQuestionComplex_log_prob_bad
Heather wouldn't know a guy that Mary hasn't concealed.,Heather wouldn't know who Mary hasn't concealed a guy.,-110.13578796386719,-107.64907836914062,-5.031975507736206,-4.971247911453247,-4.54414701461792,-4.7954840660095215,-5.650622844696045,-5.428341865539551
Peter's oncologist does heal a few displeased grandsons and Eva does heal a lot.,Peter's oncologist does heal a few grandsons and Eva does heal a lot displeased.,-173.92169189453125,-170.07752990722656,-4.774000406265259,-4.794204950332642,-4.439456462860107,-4.7615861892700195,-6.765368223190308,-6.578111886978149
Many guys forgot Anna.,Many guys forgotten Anna.,-76.14197540283203,-83.73011016845703,-5.700793743133545,-5.081862926483154,-5.7717132568359375,-4.718641757965088,-6.086742401123047,-5.640722751617432
Christina should drive to that museum.,Christina should drive to that museums.,-80.84004211425781,-87.47264099121094,-5.4973838329315186,-4.453730463981628,-5.2395477294921875,-4.588703155517578,-5.209099054336548,-4.96857476234436
Anna walks through these purple oases.,Anna walks through this purple oases.,-86.45497131347656,-94.10789489746094,-5.470874071121216,-5.7840211391448975,-5.040658712387085,-5.451718091964722,-5.126134395599365,-5.049300193786621
Phillip isn't confusing himself.,Phillip isn't confusing itself.,-68.38475036621094,-73.14910125732422,-6.198383569717407,-5.791549921035767,-5.883899450302124,-5.5356762409210205,-5.846577882766724,-5.7867162227630615
Spain is visited.,Spain is profited.,-57.32380294799805,-69.62838745117188,-5.944388151168823,-6.229618310928345,-5.063871622085571,-4.8719871044158936,-4.372073411941528,-4.4385740756988525
Some committees weren't revealing what the pedestrian drops by.,Some committees weren't revealing that the pedestrian drops by.,-115.85498046875,-115.50137329101562,-6.049378395080566,-6.0560221672058105,-5.361254930496216,-5.203636407852173,-6.158979892730713,-6.239602088928223
Heather might know what every window that exists resembled.,Heather might know that every window that exists resembled.,-111.44450378417969,-108.60597229003906,-5.606603622436523,-6.265701770782471,-5.45851731300354,-5.963736295700073,-5.339282512664795,-5.553552150726318
Julia referenced herself.,Julia referenced itself.,-70.6179428100586,-74.9366455078125,-4.8569016456604,-5.325883388519287,-5.002049207687378,-5.586344957351685,-5.480940103530884,-5.177658796310425
The Impressionists were fixing those gray teeth.,The Impressionists were fixing those gray tooth.,-105.40739440917969,-115.83601379394531,-5.350044012069702,-4.966322660446167,-4.8825061321258545,-4.4717676639556885,-5.49419093132019,-5.457229018211365
Lawrence hasn't walked through the bank.,Lawrence haven't walked through the bank.,-81.05413818359375,-86.74516296386719,-5.595189094543457,-5.42484188079834,-5.762845039367676,-5.392805576324463,-5.164214611053467,-5.236850261688232
That person wasn't stunning those adults.,That person wasn't stunning that adults.,-95.04931640625,-95.27395629882812,-5.003340721130371,-4.660709381103516,-4.638495922088623,-4.50572669506073,-5.860281944274902,-5.9520721435546875
It's himself that Steve discussed.,It's himself that discussed Steve.,-84.83451843261719,-89.41259765625,-6.2650275230407715,-5.378011703491211,-5.417072534561157,-4.678213477134705,-6.426140069961548,-6.130282640457153
No patient had scanned fewer than eight essays.,No patient had scanned at most eight essays.,-96.98878479003906,-96.97410583496094,-5.2218451499938965,-5.148898124694824,-5.026848554611206,-4.879956960678101,-5.922669172286987,-6.078457593917847
Those drivers got a job.,Those drivers gotten a job.,-63.7034912109375,-69.98698425292969,-6.303377389907837,-5.471135854721069,-5.982246160507202,-5.471740484237671,-5.370453357696533,-5.404309272766113
David hadn't thought about himself fleeing from every guest.,David hadn't thought about himself fled from every guest.,-104.67854309082031,-108.58456420898438,-6.2591681480407715,-5.859747409820557,-6.01315975189209,-5.700682640075684,-5.6959569454193115,-5.815685510635376
The Clintons boast about these hypotheses.,The Clintons boast about these hypothesis.,-87.72776794433594,-91.36753845214844,-5.6078290939331055,-5.496446132659912,-5.810745477676392,-5.562667608261108,-5.458059906959534,-5.4363884925842285
Who aren't Natalie's electricians that criticized Carolyn's colleagues disturbing?,Who aren't Carolyn's colleagues disturbing Natalie's electricians that criticized?,-156.20523071289062,-158.33135986328125,-4.596075773239136,-5.439404726028442,-3.7797409296035767,-4.624218463897705,-6.344992399215698,-6.535141229629517
The forgotten dancer is troubled.,The forgot dancer is troubled.,-82.71389770507812,-96.68528747558594,-5.614625453948975,-5.737812042236328,-5.385325908660889,-5.53804349899292,-4.996407389640808,-4.853309512138367
The forgotten commentaries were long.,The forgot commentaries were long.,-88.428955078125,-98.07453918457031,-5.483768701553345,-5.2188560962677,-5.389775037765503,-5.159391164779663,-5.9074413776397705,-5.913043141365051
Should Dawn ever exit hills?,Dawn should ever exit hills.,-82.46873474121094,-91.521484375,-6.644422292709351,-5.719370126724243,-6.5824620723724365,-5.7029829025268555,-4.908684730529785,-5.247908592224121
Every girl boasted about at most four waiters.,No girl boasted about at most four waiters.,-103.16017150878906,-100.03022766113281,-5.220186233520508,-5.502154350280762,-5.185559153556824,-5.14754056930542,-6.017978191375732,-5.962697982788086
The Impressionists have changed.,The Impressionists have dropped by.,-74.56661987304688,-82.42143249511719,-5.586429834365845,-5.714895963668823,-4.691839694976807,-4.825398921966553,-5.539296865463257,-5.647345304489136
The feet tip over.,The foot tip over.,-79.86669921875,-84.88715362548828,-5.753324747085571,-5.84137225151062,-5.548414707183838,-5.881697177886963,-5.081126809120178,-5.157496690750122
Many customers talk about that delighted child.,Many customers talk about those delighted child.,-83.55276489257812,-91.93867492675781,-4.970912456512451,-5.108758449554443,-4.866103649139404,-5.215893268585205,-6.1401660442352295,-5.920845985412598
Katherine found out that that cashier didn't sell some ice cream.,Katherine found out what that cashier didn't sell some ice cream.,-120.53653717041016,-133.61231994628906,-5.955102443695068,-6.473328113555908,-5.558523178100586,-6.309259414672852,-6.1541430950164795,-5.917639493942261
That mirror is cleaned by the dancer.,That mirror is cleaned by the muffins.,-83.44512939453125,-85.42677307128906,-6.09599757194519,-5.618905305862427,-5.872983694076538,-5.382904291152954,-5.305344343185425,-5.417034864425659
Dawn is disgusting herself.,Dawn is disgusting itself.,-74.09696960449219,-74.9697265625,-6.242984056472778,-5.839702367782593,-5.903247117996216,-5.445917844772339,-5.215546369552612,-5.640696287155151
Harvard University impressed itself.,Harvard University impressed themselves.,-75.04911804199219,-76.73756408691406,-6.208566188812256,-5.998087406158447,-5.601433515548706,-5.4887168407440186,-6.037471055984497,-6.109705209732056
Stacy finds out who these companies do listen to.,Stacy finds out that these companies do listen to.,-111.06001281738281,-111.628662109375,-5.9095118045806885,-5.863487958908081,-5.684759140014648,-5.387762069702148,-5.080664396286011,-5.399819612503052
Jane had remembered herself.,Jane had remembered himself.,-71.52020263671875,-74.63671875,-6.349287509918213,-6.5456061363220215,-5.992000102996826,-6.0390167236328125,-4.811117053031921,-4.916574478149414
That school that has bothered a lot of girls talks about some boy.,That school that has bothered a lot of girls talk about some boy.,-117.64163970947266,-119.11412811279297,-5.757591962814331,-5.4592039585113525,-5.564483165740967,-5.142745018005371,-7.147912263870239,-7.200148582458496
Many guests describe Amanda.,Many guests describes Amanda.,-78.2479476928711,-83.65225219726562,-5.330003023147583,-5.1945730447769165,-5.459378004074097,-5.322810888290405,-6.093912363052368,-6.254232883453369
Carmen isn't researching those newspaper articles that April isn't arguing about that haven't aggravated these girls.,Carmen isn't researching who those newspaper articles that April isn't arguing about haven't aggravated these girls.,-167.4185791015625,-177.84127807617188,-5.207804441452026,-5.2264134883880615,-4.867671251296997,-4.87555193901062,-6.632810115814209,-6.59904408454895
Tina shouldn't take three orange mountains and Elizabeth's guests shouldn't take almost as many.,Tina shouldn't take three mountains and Elizabeth's guests shouldn't take almost as many orange.,-148.1244354248047,-155.2585906982422,-4.952887773513794,-5.338207960128784,-4.372180700302124,-4.852140665054321,-5.873255968093872,-5.9216225147247314
All hills aren't exciting to arrive at.,All hills aren't apt to arrive at.,-94.8656005859375,-98.36709594726562,-6.533165693283081,-6.019593954086304,-5.5379579067230225,-5.528125524520874,-4.810689210891724,-4.8255531787872314
Most women who aren't praising Regina will sound like themselves.,Most women who aren't praising Regina will sound like herself.,-111.76530456542969,-113.7889404296875,-6.083393573760986,-5.882059574127197,-6.068030595779419,-5.804197072982788,-6.616913080215454,-6.557638883590698
Kevin was loved by the teenagers.,Kevin was loved by the broccoli.,-73.72787475585938,-76.71241760253906,-5.221161127090454,-5.008776426315308,-4.558506727218628,-4.595162630081177,-4.77958881855011,-4.6742329597473145
Ronald's student is discovering one hopeful father and every cousin of Becky is discovering some.,Ronald's student is discovering one father and every cousin of Becky is discovering some hopeful.,-181.37991333007812,-186.10256958007812,-5.305607318878174,-5.475555419921875,-5.50264835357666,-5.73214864730835,-5.712342977523804,-5.767581224441528
Florence is forgotten by some boy.,Florence is forgotten by some species.,-80.6485595703125,-75.85249328613281,-5.725249767303467,-5.802275657653809,-5.184041738510132,-5.220102548599243,-5.724766731262207,-5.595795631408691
It's itself that that pork would stun.,It's itself that would stun that pork.,-111.03056335449219,-108.48939514160156,-5.938959836959839,-5.611531019210815,-5.431271553039551,-5.332910537719727,-5.523280620574951,-5.428891658782959
Sara can't scan that story.,Music can't scan that story.,-81.53343200683594,-82.87464904785156,-5.50030517578125,-5.165013313293457,-5.287007093429565,-4.888627886772156,-4.712674140930176,-4.6976318359375
Wendy didn't approach that actress.,The slope didn't approach that actress.,-76.81415557861328,-89.6575927734375,-5.7586989402771,-5.670821666717529,-5.423232555389404,-5.373521208763123,-5.247149109840393,-5.270237922668457
Barbara bought.,Barbara lifts.,-61.02761459350586,-67.00167846679688,-7.706111907958984,-7.201556921005249,-7.340917110443115,-6.6565446853637695,-4.096506834030151,-4.169854402542114
The hidden snakes aren't black.,The hid snakes aren't black.,-82.08450317382812,-90.45170593261719,-5.688784837722778,-5.580045461654663,-5.640267848968506,-5.798366069793701,-5.800899863243103,-5.875429391860962
Amanda was boycotting whose malls?,Whose was Amanda boycotting malls?,-98.03315734863281,-92.27702331542969,-5.923241853713989,-5.9809324741363525,-4.9008567333221436,-5.004304647445679,-6.374713659286499,-6.528890371322632
Roger does complain about himself.,Roger does complain about themselves.,-82.00225830078125,-87.05642700195312,-5.683217287063599,-5.580586671829224,-5.294903039932251,-5.2252514362335205,-5.758730888366699,-5.725377082824707
Every waitress boasted about herself.,Every waitress boasted about themselves.,-88.19915771484375,-88.95864868164062,-5.199265956878662,-5.298192501068115,-4.996006727218628,-5.192180395126343,-5.33444619178772,-5.4321959018707275
Russell's guests who can escape from Keith did not ever write.,Russell's guests who can not escape from Keith did ever write.,-119.72307586669922,-130.0823211669922,-5.9256346225738525,-5.615160226821899,-5.561314821243286,-5.0783421993255615,-6.209859371185303,-6.0961594581604
What have Larry and Homer hired?,What had Larry hired and Homer?,-87.55374145507812,-104.70664978027344,-5.470476865768433,-5.602495431900024,-5.122012615203857,-5.204836845397949,-5.537106990814209,-5.303864002227783
The children were saying Matt insulted himself.,The children were saying Matt insulted themselves.,-100.53744506835938,-100.13401794433594,-5.233855247497559,-5.2869720458984375,-5.208483695983887,-5.3757100105285645,-6.885988235473633,-6.641021013259888
Lissa questions every government that irritated Brian.,Lissa questions who every government irritated Brian.,-116.97711181640625,-123.81568908691406,-5.644245147705078,-5.472454071044922,-5.157490015029907,-5.213389158248901,-6.0506932735443115,-5.829363107681274
The women forget who students sounded like.,The women forget that students sounded like.,-99.0223388671875,-103.465087890625,-5.707423686981201,-5.827921390533447,-5.398420810699463,-5.050261974334717,-5.924386501312256,-5.602589130401611
The man hasn't insulted Valerie.,The man haven't insulted Valerie.,-91.19764709472656,-95.04740905761719,-6.229873180389404,-5.743357181549072,-6.09854531288147,-5.563559293746948,-5.712687015533447,-5.738694667816162
Gary thinks about himself looking like paintings.,Gary thinks about himself looks like paintings.,-94.15469360351562,-91.81959533691406,-5.655188322067261,-5.388894319534302,-5.504541873931885,-5.207553863525391,-5.830211400985718,-5.540571451187134
No guy was admiring more than two forks.,No guy was admiring at least two forks.,-92.49049377441406,-93.32536315917969,-5.568200349807739,-5.4141552448272705,-5.553263902664185,-4.974169015884399,-5.842069149017334,-5.621687412261963
Some child has wept.,Some child have wept.,-70.8828125,-75.13263702392578,-6.14702582359314,-5.8638527393341064,-6.000073194503784,-5.857813596725464,-5.7425737380981445,-5.701101779937744
Alicia hasn't ascended many mountains.,Alicia haven't ascended many mountains.,-81.34747314453125,-89.56277465820312,-6.165120601654053,-6.143125057220459,-5.581898927688599,-5.6744163036346436,-5.161975622177124,-5.074828028678894
Some men's partner was judging it to be unexpected that Tracy can't predict Candice to talk about these guests.,Some men's partner wasn't enticing it to be unexpected that Tracy can't predict Candice to talk about these guests.,-191.97935485839844,-207.39813232421875,-6.062700271606445,-6.095858573913574,-5.630537271499634,-5.862364053726196,-6.293808937072754,-6.289111614227295
Susan isn't watching several hairdressers and a man's mentee isn't watching a few content hairdressers.,Susan isn't watching several uncertain hairdressers and a man's mentee isn't watching a few content.,-160.42088317871094,-166.72434997558594,-5.628376483917236,-4.955415725708008,-5.666153907775879,-4.918651580810547,-6.595889329910278,-6.2788050174713135
The book resembled no orange photographs and these jackets resembled some.,The book resembled no photographs and these jackets resembled some orange.,-146.82969665527344,-144.44723510742188,-3.849457263946533,-3.681835651397705,-3.6659047603607178,-3.8968989849090576,-5.507328748703003,-5.761797666549683
Rachel respected herself.,Rachel respected itself.,-65.51583862304688,-71.33674621582031,-6.10606837272644,-5.73514199256897,-5.922587156295776,-5.531366586685181,-5.524987697601318,-5.36562442779541
No actor explored fewer than eight high schools.,No actor explored at most eight high schools.,-96.57412719726562,-96.42118835449219,-5.3799214363098145,-5.186909198760986,-5.343723297119141,-5.159962177276611,-5.876785039901733,-6.090327024459839
Bethany's friend can anticipate it to be uninteresting that some cilantro has ripened.,Bethany's friend dares it to be uninteresting that some cilantro has ripened.,-145.3658447265625,-153.61892700195312,-6.115394115447998,-5.703792572021484,-5.938002109527588,-5.760597229003906,-5.918476581573486,-6.330495834350586
Guy hadn't left himself.,Guy hadn't left themselves.,-71.11894226074219,-76.97312927246094,-5.945521354675293,-5.78209114074707,-5.5301477909088135,-5.2422935962677,-5.6761205196380615,-5.716334104537964
Spain is difficult to bike to.,Spain is likely to bike to.,-63.678951263427734,-68.29652404785156,-5.4494078159332275,-5.2856409549713135,-5.061775207519531,-4.845015525817871,-5.0360918045043945,-4.96730649471283
Lisa will imagine Vincent knows himself.,Vincent will imagine Lisa knows himself.,-101.68904113769531,-99.50048828125,-5.733985662460327,-5.160865545272827,-5.530787229537964,-5.057381868362427,-5.593746662139893,-5.509410858154297
Kathleen thinks Andrew discusses himself.,Andrew thinks Kathleen discusses himself.,-90.07777404785156,-91.19068908691406,-6.285738468170166,-6.111868858337402,-5.6717143058776855,-5.408029079437256,-6.292792558670044,-6.426482915878296
Carla's daughters are preferring there to be an actor slumping over.,Carla's daughters are urging there to be an actor slumping over.,-132.58116149902344,-134.905517578125,-6.142623424530029,-5.994431495666504,-5.747410297393799,-5.417598247528076,-6.070037603378296,-6.025535345077515
Richard's tutors weren't worried by current events.,Richard's tutors weren't smiled by current events.,-99.4481201171875,-107.35247802734375,-6.532230377197266,-5.893440246582031,-6.1987059116363525,-5.73558783531189,-5.1054641008377075,-5.059961795806885
Only David could ever talk.,Even David could ever talk.,-80.58702850341797,-78.23956298828125,-6.179020643234253,-6.428710222244263,-5.956407070159912,-6.313591003417969,-5.361486434936523,-5.476811408996582
All banks are there prodding Randolf to insult these schools.,There are all banks prodding Randolf to insult these schools.,-142.97836303710938,-144.36109924316406,-5.248669147491455,-5.208505630493164,-5.17287015914917,-5.197922706604004,-5.293199300765991,-5.247404456138611
Alicia won't remember analyses that this man examined.,Alicia won't remember what this man examined analyses.,-116.56916809082031,-121.46743774414062,-5.169881343841553,-4.662534236907959,-4.9599549770355225,-4.489798307418823,-5.966226816177368,-5.876897573471069
The woman was working with Naomi.,The women was working with Naomi.,-77.69327545166016,-86.4803466796875,-6.787400245666504,-6.4350457191467285,-6.287878751754761,-5.900651216506958,-5.569655656814575,-5.236194849014282
Every public park wasn't there embarrassing Veronica.,There wasn't every public park embarrassing Veronica.,-123.29129028320312,-118.29400634765625,-5.381601095199585,-5.9690845012664795,-4.808145046234131,-5.378993034362793,-6.023212671279907,-5.662280797958374
The government isn't arguing about Heidi.,The government aren't arguing about Heidi.,-84.97874450683594,-90.05528259277344,-5.117986440658569,-4.891247034072876,-4.8527257442474365,-4.691634893417358,-5.302886009216309,-5.401796817779541
Every senator toured at least eight hospitals.,No senator toured at least eight hospitals.,-99.33648681640625,-93.40179443359375,-5.230375528335571,-5.24605917930603,-4.95184588432312,-4.679209470748901,-5.574296236038208,-5.627462148666382
Carmen's dermatologists had argued about one young husband and Kayla had argued about three.,Carmen's dermatologists had argued about one husband and Kayla had argued about three young.,-151.73202514648438,-150.11502075195312,-5.336751937866211,-5.552489280700684,-4.91461455821991,-5.2175822257995605,-6.494887113571167,-6.450571775436401
Marcus's nieces were referenced by an adult.,Marcus's nieces were conspired by an adult.,-93.58393859863281,-93.7742919921875,-6.091131925582886,-6.276309251785278,-5.628992557525635,-5.755384922027588,-5.308887720108032,-5.584740877151489
Most reports are pleasant to complain about.,Most reports are certain to complain about.,-86.9415283203125,-81.3793716430664,-4.80724573135376,-5.25186824798584,-4.373992085456848,-4.931259393692017,-5.582567453384399,-5.440800428390503
Jill can not ever prevent Marcus from messing up most public parks.,Jill can probably ever prevent Marcus from messing up most public parks.,-122.57628631591797,-128.87232971191406,-6.5090248584747314,-6.595189809799194,-5.832517862319946,-6.020523309707642,-5.766112804412842,-6.062131404876709
Tracy hadn't hugged Emily.,This sweater hadn't hugged Emily.,-89.31886291503906,-94.78726196289062,-5.630692720413208,-5.66318678855896,-5.143827676773071,-5.228867292404175,-5.019805073738098,-5.349490642547607
No waitress visited fewer than three teenagers.,No waitress visited at most three teenagers.,-91.02760314941406,-92.87226867675781,-5.007421970367432,-5.209072709083557,-5.225087881088257,-5.268172025680542,-5.990819454193115,-6.28377103805542
The taken chair is big.,The took chair is big.,-77.7359619140625,-82.27261352539062,-5.717085599899292,-5.64653468132019,-5.597867488861084,-5.8188066482543945,-5.194481611251831,-4.916341543197632
Susan hugged herself.,Susan hugged themselves.,-62.63120651245117,-67.77429962158203,-5.81513524055481,-5.74224591255188,-5.262598752975464,-5.274868726730347,-4.865648984909058,-4.830108404159546
Matt unfolded that blouse.,Matt existed that blouse.,-83.11088562011719,-77.68992614746094,-5.340197324752808,-5.301709890365601,-4.990931510925293,-5.101398468017578,-5.2502429485321045,-4.948071718215942
