prefix,plausible,implausible,direct_log_prob_plausible,direct_log_prob_implausible,MetaQuestionSimple_log_prob_plausible,MetaQuestionSimple_log_prob_implausible,MetaInstruct_log_prob_plausible,MetaInstruct_log_prob_implausible,MetaQuestionComplex_log_prob_plausible,MetaQuestionComplex_log_prob_implausible
The government offered the,protection,drink,-19.6937255859375,-21.965627670288086,-18.621685028076172,-17.909582138061523,-18.397068977355957,-18.208311080932617,-13.711634159088135,-9.907017230987549
The cook cleaned the,fish,window,-11.248907089233398,-17.542743682861328,-11.439121723175049,-13.61133337020874,-11.34265422821045,-11.216230392456055,-5.836748123168945,-8.963042259216309
The carpenter flipped the,board,hair,-14.381950378417969,-18.024749755859375,-10.303489685058594,-17.812560081481934,-9.442372798919678,-17.121139526367188,-7.553130388259888,-12.5812668800354
The smuggler sold the,weapon,flower,-19.61117172241211,-17.980518341064453,-15.340368270874023,-13.237017154693604,-15.92717456817627,-13.340922355651855,-11.693332195281982,-8.063350200653076
The demonstrator carried the,flag,ball,-19.869836807250977,-16.483135223388672,-12.452016353607178,-10.526654243469238,-12.842233180999756,-10.334428310394287,-9.256877899169922,-8.137293815612793
The mason built the,house,snowman,-12.860042572021484,-16.801025390625,-8.082940578460693,-14.890478134155273,-8.317657470703125,-14.004697322845459,-7.319380760192871,-10.502989768981934
The butcher carved the,meat,stone,-17.737337112426758,-11.493175506591797,-14.470613956451416,-9.306854724884033,-14.118410110473633,-9.047258853912354,-11.271878242492676,-8.195887565612793
The chemist mixed the,substance,music,-17.73381996154785,-18.70047950744629,-16.50768280029297,-16.46648120880127,-16.022994995117188,-16.99079418182373,-10.919169902801514,-8.95810079574585
The boss assigned the,job,medal,-16.971349716186523,-18.37885093688965,-14.93752908706665,-15.379375457763672,-16.698728561401367,-16.217941761016846,-8.914872169494629,-8.871550559997559
The volunteer brought the,food,hatchet,-17.483131408691406,-16.311655044555664,-13.68192720413208,-7.790616273880005,-13.438070297241211,-7.642647743225098,-8.799694061279297,-5.3665125370025635
The waiter mixed the,drink,cement,-17.706655502319336,-14.240324020385742,-16.4814395904541,-11.204828262329102,-16.759997367858887,-10.701801300048828,-10.227370262145996,-8.074497699737549
The farmer plowed the,field,sand,-11.902156829833984,-16.257478713989258,-13.345617294311523,-16.76655673980713,-12.462577819824219,-15.015578746795654,-8.835700988769531,-11.283303260803223
The reporter held the,camera,knife,-23.181703567504883,-20.750694274902344,-18.63831901550293,-15.162740707397461,-20.65027904510498,-16.50662136077881,-10.939197063446045,-7.001920223236084
The hairstylist washed the,hair,infant,-16.175981521606445,-18.93982696533203,-16.175023555755615,-13.459230899810791,-15.897368431091309,-12.056108474731445,-11.761833667755127,-9.614014148712158
The beautician spread the,cream,paint,-18.491607666015625,-18.773422241210938,-14.728690147399902,-16.9177188873291,-13.41314172744751,-16.077640533447266,-9.705251693725586,-11.447993278503418
The boss promised the,promotion,heaven,-21.03289222717285,-16.883426666259766,-17.94492816925049,-15.56365156173706,-17.602200508117676,-15.36686897277832,-9.407456398010254,-8.912201881408691
The cook cut the,fish,grass,-10.284467697143555,-15.738000869750977,-8.668087005615234,-13.446907997131348,-8.905401706695557,-13.353695392608643,-6.451562404632568,-11.2425856590271
The lumberjack used the,saw,lancet,-17.571069717407227,-16.47543716430664,-15.115981578826904,-14.803840160369873,-14.075149536132812,-14.957557678222656,-10.262908458709717,-10.125122547149658
The goalkeeper threw the,ball,bomb,-13.384618759155273,-19.426603317260742,-11.024879932403564,-17.255477905273438,-11.835829734802246,-17.864383697509766,-8.347226619720459,-11.41545820236206
The housemaid mopped the,floor,barracks,-12.100942611694336,-15.19282341003418,-10.524688243865967,-14.11229658126831,-9.943520545959473,-12.026307106018066,-9.384397506713867,-8.887796401977539
The truck plowed the,snow,garden,-16.059967041015625,-19.439960479736328,-15.439995288848877,-19.90710163116455,-14.48460578918457,-18.570677757263184,-10.188710689544678,-12.999701023101807
The illustrator drew the,picture,carriage,-15.878606796264648,-20.860519409179688,-13.852787017822266,-17.526004791259766,-14.535099029541016,-18.27112102508545,-8.416225910186768,-10.47031545639038
The policeman pushed the,demonstrator,stroller,-19.158248901367188,-18.395320892333984,-18.960373878479004,-14.350917339324951,-19.65737533569336,-14.664945125579834,-14.144598960876465,-10.33651351928711
The teacher lent the,book,gun,-12.898707389831543,-19.681718826293945,-11.331982135772705,-10.454021453857422,-11.198574542999268,-11.445196628570557,-8.540975093841553,-6.772430658340454
The soldier reached the,trench,supermarket,-16.467615127563477,-19.94444465637207,-15.769289493560791,-17.345221519470215,-15.092556476593018,-17.533048629760742,-11.000290393829346,-11.364869594573975
The archer released the,arrow,interview,-15.988458633422852,-20.410913467407227,-11.543928146362305,-18.72223949432373,-12.587713718414307,-19.432449340820312,-8.383616209030151,-11.613603115081787
The carpenter fixed the,chair,shoe,-12.738105773925781,-15.662946701049805,-9.104580879211426,-13.587336540222168,-9.370735168457031,-13.97592306137085,-7.2249486446380615,-11.831977844238281
The coach checked the,team,car,-16.48868751525879,-18.49237823486328,-15.626686096191406,-17.23022747039795,-15.398017406463623,-16.740307807922363,-10.198074340820312,-10.025023460388184
The sailor tied the,rope,necktie,-15.4103422164917,-18.478057861328125,-12.5635085105896,-13.996631145477295,-12.430315494537354,-13.904059410095215,-9.656675815582275,-10.110044002532959
The demonstrator threw the,stone,frisbee,-15.656064987182617,-18.885772705078125,-8.798336029052734,-12.166190147399902,-10.065551280975342,-12.303595066070557,-7.391397476196289,-8.505326747894287
The tourist rode the,camel,skates,-20.04383087158203,-17.716764450073242,-15.880028247833252,-15.129042625427246,-15.19697618484497,-13.925589084625244,-9.631921291351318,-10.258583545684814
The climber faced the,wall,ocean,-16.731945037841797,-19.453649520874023,-12.824649810791016,-17.07398223876953,-12.914085865020752,-16.74027442932129,-8.844465255737305,-10.896517753601074
The doctor sewed the,wound,shoe,-16.603818893432617,-15.943680763244629,-14.453890800476074,-13.376060485839844,-14.228633880615234,-13.01615858078003,-11.10927152633667,-11.507484912872314
The ant stacked the,supply,suitcase,-19.942127227783203,-16.16233253479004,-17.729999542236328,-14.340152740478516,-17.59976100921631,-13.687660217285156,-11.449566841125488,-11.419122695922852
The barber cut the,hair,cake,-15.952552795410156,-17.179513931274414,-15.749455451965332,-15.30201530456543,-16.164491653442383,-15.955509185791016,-12.802762985229492,-10.657963752746582
The illustrator decorated the,book,garden,-15.137876510620117,-20.46440315246582,-12.43183183670044,-19.270926475524902,-12.190135478973389,-18.640993118286133,-7.433756351470947,-14.347749710083008
The magician read the,hand,newspaper,-16.14226531982422,-16.83364486694336,-15.685251712799072,-15.979872703552246,-15.780062675476074,-15.525754451751709,-8.763579845428467,-12.531670093536377
The hostess explained the,procedure,poem,-19.703338623046875,-22.038084030151367,-19.558764457702637,-20.36219882965088,-19.83260726928711,-20.399383544921875,-10.870299339294434,-10.37457275390625
The child climbed the,tree,mountain,-13.694904327392578,-13.00448989868164,-13.561646938323975,-11.658203125,-13.138253688812256,-11.239160060882568,-10.453040599822998,-9.231679439544678
The policeman fought the,crime,obesity,-17.540739059448242,-20.0700740814209,-15.230590343475342,-16.880566596984863,-15.525185108184814,-16.961444854736328,-10.707904815673828,-8.728753089904785
The painter decorated the,wall,cake,-13.761909484863281,-17.486665725708008,-11.393928527832031,-15.655941009521484,-10.605380535125732,-15.412539958953857,-9.442944049835205,-10.788471698760986
The student celebrated the,graduation,marriage,-19.346078872680664,-22.507888793945312,-18.210026741027832,-18.25222873687744,-17.506938934326172,-18.771686553955078,-10.14655876159668,-10.108479499816895
The waiter delivered the,drink,speech,-17.91533088684082,-19.88166046142578,-16.194310665130615,-17.557581901550293,-16.622809410095215,-18.475947380065918,-8.727681636810303,-10.029613018035889
The painter painted the,picture,toenail,-14.999146461486816,-18.433515548706055,-14.088529109954834,-15.11079454421997,-13.424527645111084,-14.18603515625,-9.261905193328857,-11.818365573883057
The student wore the,glasses,armor,-18.35317039489746,-16.19390106201172,-15.467088222503662,-12.076831340789795,-14.889169692993164,-10.943473815917969,-11.70959758758545,-8.929553985595703
The farmer picked the,vegetable,killer,-16.18720245361328,-17.47412109375,-14.359838008880615,-16.33708429336548,-14.156394481658936,-16.41835069656372,-8.549732208251953,-11.541215896606445
The soldier used the,knife,brush,-15.133554458618164,-18.45696258544922,-10.746983051300049,-14.566976070404053,-9.549936294555664,-13.878226280212402,-7.080803155899048,-10.548653602600098
The housemaid cleaned the,dish,fish,-14.927282333374023,-13.33587646484375,-15.397346496582031,-13.572502136230469,-15.327006816864014,-12.514761924743652,-11.996292114257812,-5.7076966762542725
The photographer prepared the,camera,food,-18.989362716674805,-19.12668800354004,-16.51549243927002,-14.707064628601074,-17.341280937194824,-13.626670360565186,-10.378331184387207,-8.317566871643066
The traveller handed the,bag,screwdriver,-16.674680709838867,-17.974584579467773,-12.908467292785645,-14.676403999328613,-12.837791442871094,-15.181099891662598,-7.723073959350586,-10.314820289611816
The traveller checked the,watch,team,-17.349903106689453,-23.04874038696289,-15.080246925354004,-19.324121475219727,-15.719913482666016,-18.021496772766113,-8.01981258392334,-10.188864707946777
The mother hung the,laundry,rifle,-18.83828353881836,-17.77653694152832,-15.818321228027344,-16.955344200134277,-15.300064086914062,-15.921414852142334,-9.795337677001953,-9.79905891418457
The child threw the,ball,bottle,-11.553598403930664,-16.9849796295166,-10.65198040008545,-15.781657695770264,-10.054455757141113,-15.564374923706055,-8.266448974609375,-11.672971725463867
The dealer checked the,car,net,-20.568443298339844,-21.16572380065918,-16.82827377319336,-15.698101043701172,-16.620511054992676,-15.940969467163086,-10.414146900177002,-9.50891637802124
The veterinarian examined the,dog,plant,-9.887006759643555,-15.511423110961914,-9.801684379577637,-11.189807891845703,-9.676822662353516,-11.448439598083496,-7.021270513534546,-7.984987020492554
The baker sold the,bread,stroller,-13.353827476501465,-17.201515197753906,-11.303161144256592,-15.043495178222656,-11.298386573791504,-15.210366249084473,-7.1950390338897705,-10.656328678131104
The child drank the,coke,beer,-17.380586624145508,-16.83052635192871,-13.92004919052124,-15.919762134552002,-13.493244171142578,-15.101162910461426,-10.333805561065674,-11.016787052154541
The mother prepared the,food,gun,-14.494804382324219,-19.99983024597168,-13.34399938583374,-15.52304983139038,-13.20299243927002,-14.354196071624756,-9.566102981567383,-7.191523551940918
The artist hung the,picture,motorcycle,-17.472034454345703,-20.671052932739258,-14.11328935623169,-15.994823932647705,-14.188267230987549,-15.74288558959961,-8.615222930908203,-9.644832611083984
The barber used the,razor,microscope,-17.490873336791992,-16.18058967590332,-13.043635368347168,-12.493294715881348,-11.709359645843506,-11.149077415466309,-8.728351593017578,-7.384406328201294
The skater rode the,skates,bus,-15.970592498779297,-18.271827697753906,-14.592235565185547,-12.323843955993652,-14.27770185470581,-11.83167314529419,-10.12222146987915,-9.90867567062378
The surgeon performed the,surgery,dance,-17.44777488708496,-18.068527221679688,-15.336577892303467,-16.06149673461914,-14.972057819366455,-15.912092685699463,-10.603049278259277,-12.395182609558105
The tourist visited the,museum,patient,-16.89313316345215,-17.902536392211914,-15.40134572982788,-13.285280704498291,-14.997297286987305,-12.894737243652344,-12.002435207366943,-7.569775104522705
The dog ate the,bone,plant,-19.049480438232422,-18.402830123901367,-13.392479419708252,-13.56947946548462,-12.359992027282715,-13.04812240600586,-8.176226139068604,-7.818687915802002
The soldier wore the,helmet,jeans,-16.567035675048828,-17.618000030517578,-13.48215627670288,-12.102452278137207,-12.741343021392822,-11.78020429611206,-10.63053560256958,-7.214351654052734
The singer began the,performance,race,-18.57122039794922,-21.117576599121094,-15.482333183288574,-19.17142677307129,-15.133368492126465,-19.226213455200195,-9.646925449371338,-13.207874774932861
The waiter cleared the,table,tube,-14.397909164428711,-16.47482681274414,-15.083765983581543,-12.515366554260254,-14.111515522003174,-12.51602554321289,-10.635744571685791,-8.014907360076904
The vandal sprayed the,paint,perfume,-18.011581420898438,-20.20989990234375,-17.125877380371094,-18.48134994506836,-17.32305908203125,-17.72493839263916,-12.469639778137207,-10.522712707519531
The child built the,snowman,sculpture,-17.761343002319336,-20.189659118652344,-14.591885089874268,-15.190284729003906,-13.572195053100586,-15.123194694519043,-9.544089794158936,-9.804356098175049
The child visited the,zoo,prisoner,-17.091604232788086,-16.075241088867188,-13.317197322845459,-14.901904582977295,-12.784080505371094,-14.344886302947998,-9.291086196899414,-6.85109281539917
The receiver caught the,baseball,wave,-24.01551628112793,-19.199567794799805,-20.02443027496338,-18.084577560424805,-19.729084014892578,-19.456713676452637,-11.414407730102539,-9.325712203979492
The player gained the,ball,degree,-17.056976318359375,-20.332977294921875,-12.024878978729248,-13.664978504180908,-12.26336145401001,-13.566039562225342,-8.682092666625977,-9.05930233001709
The policeman captured the,thief,image,-17.58707046508789,-21.012712478637695,-13.674360752105713,-18.073004722595215,-13.972641944885254,-18.74272632598877,-8.668976783752441,-10.176108360290527
The musician touched the,instrument,base,-19.184202194213867,-21.61481285095215,-18.93827724456787,-18.535149574279785,-18.434865951538086,-17.726796627044678,-11.433399677276611,-10.821532726287842
The demonstrator signed the,petition,shirt,-18.05989646911621,-22.410978317260742,-13.719292163848877,-15.78031587600708,-14.88639497756958,-17.44267749786377,-8.508691310882568,-11.808071613311768
The bank assigned the,code,book,-18.42026710510254,-17.93485450744629,-18.34931468963623,-16.95581817626953,-19.50067138671875,-17.714250564575195,-10.7633638381958,-8.22241997718811
The hairstylist fixed the,hair,bike,-16.5272159576416,-18.717344284057617,-14.878652572631836,-15.685054779052734,-14.680951595306396,-15.198611736297607,-11.794073104858398,-9.860875129699707
The biker wore the,helmet,swimsuit,-16.854019165039062,-19.493488311767578,-12.914394855499268,-15.336345195770264,-12.25186538696289,-14.284924983978271,-10.803338050842285,-10.455010414123535
The electrician checked the,device,rifle,-16.5421199798584,-18.370311737060547,-14.137124061584473,-17.581501007080078,-14.254458904266357,-16.47891902923584,-8.6217041015625,-10.272842407226562
The surfer rode the,wave,camel,-16.244918823242188,-20.833484649658203,-15.097147464752197,-15.216188907623291,-16.048513412475586,-15.8483247756958,-9.107686042785645,-9.634937286376953
The housemaid cleaned the,window,street,-11.571182250976562,-17.237041473388672,-11.08951187133789,-15.214931011199951,-10.378528594970703,-14.132665634155273,-8.888972282409668,-8.703523635864258
The programmer described the,software,monument,-17.78962516784668,-18.395782470703125,-14.712524890899658,-15.25495958328247,-14.691144943237305,-14.411028861999512,-8.434064865112305,-9.406827926635742
The player gathered the,ball,grass,-16.08431625366211,-18.990808486938477,-11.039106845855713,-16.162617683410645,-10.235050678253174,-15.41028118133545,-8.266043901443481,-10.880976676940918
The photographer used the,camera,stethoscope,-17.895681381225586,-19.4299259185791,-16.598594665527344,-16.24739360809326,-15.566530704498291,-14.58823299407959,-10.091281414031982,-10.284889698028564
The general won the,battle,toy,-20.255083084106445,-21.14389991760254,-17.50137424468994,-16.136961460113525,-17.581427574157715,-16.594094276428223,-10.926764011383057,-11.160253047943115
The president delivered the,speech,kick,-19.568387985229492,-22.44585418701172,-16.933524131774902,-20.298008918762207,-17.805163383483887,-20.662742614746094,-9.82802152633667,-10.511707782745361
The president gave the,speech,book,-19.436885833740234,-20.495004653930664,-16.914973258972168,-18.90377140045166,-17.88493537902832,-20.2228946685791,-10.201188564300537,-7.997868061065674
The horse pulled the,cart,suitcase,-16.98476791381836,-17.420869827270508,-15.032235622406006,-17.899775505065918,-13.700274467468262,-16.389760971069336,-10.42710018157959,-9.172872543334961
The dog carried the,ball,flag,-15.466821670532227,-17.90382194519043,-10.945375442504883,-12.736823558807373,-10.243031978607178,-12.340210437774658,-7.8998260498046875,-9.100589752197266
The waiter prepared the,drink,bomb,-18.04312515258789,-17.505340576171875,-15.930943489074707,-16.13192081451416,-16.215163707733154,-15.445580005645752,-9.364130973815918,-10.60244083404541
The mason fixed the,wall,tire,-15.736995697021484,-17.29778289794922,-11.407137393951416,-13.819413661956787,-10.360822200775146,-13.241004467010498,-9.28163766860962,-11.097059726715088
The fisherman checked the,net,car,-17.391246795654297,-17.97368812561035,-13.645816802978516,-16.53336811065674,-12.910444736480713,-16.590688705444336,-9.135839939117432,-10.05659532546997
The gardener decorated the,garden,book,-18.670448303222656,-15.003477096557617,-18.622056007385254,-12.505527019500732,-18.51235294342041,-12.39686918258667,-13.958037376403809,-7.297595262527466
The soldier wore the,uniform,pajamas,-14.90050220489502,-17.908113479614258,-11.949079513549805,-17.081748008728027,-10.13990068435669,-15.92271900177002,-6.809593915939331,-11.169041156768799
The businessman read the,report,fable,-16.17473793029785,-18.621191024780273,-15.684452056884766,-16.704442977905273,-15.869064331054688,-16.653040885925293,-10.796899318695068,-11.391128063201904
The sailor faced the,ocean,wall,-17.518400192260742,-16.54196548461914,-17.08861255645752,-13.682372570037842,-16.35213279724121,-13.591969966888428,-10.606856346130371,-9.092694282531738
The general sent the,soldier,postcard,-16.887006759643555,-18.950851440429688,-16.329570770263672,-16.23183250427246,-16.14335346221924,-16.738507747650146,-10.879972457885742,-9.646900653839111
The surgeon examined the,patient,car,-11.857749938964844,-19.276838302612305,-9.182926177978516,-16.18308448791504,-9.117841720581055,-15.88447904586792,-7.298396825790405,-10.681639194488525
The waiter cut the,cake,hair,-17.40962028503418,-16.873802185058594,-14.98142147064209,-16.878267288208008,-14.910216808319092,-16.954026222229004,-10.227750301361084,-12.492119312286377
The child ate the,candy,bone,-17.583925247192383,-17.931276321411133,-16.74172592163086,-12.247334480285645,-16.196078777313232,-11.036529541015625,-10.815032005310059,-7.632007837295532
The diplomat carried the,message,dog,-15.124009132385254,-18.97449493408203,-14.916340351104736,-14.610615730285645,-15.58521842956543,-16.12072515487671,-10.05111312866211,-7.690892219543457
The spectator enjoyed the,game,breakfast,-17.108678817749023,-18.241374969482422,-15.203287124633789,-14.606640338897705,-15.080286502838135,-15.397636413574219,-9.660358428955078,-10.214530944824219
The player touched the,base,flower,-20.60982894897461,-17.464134216308594,-16.91923236846924,-13.147918224334717,-15.436633586883545,-12.536592960357666,-10.262247085571289,-7.878706693649292
The artist assembled the,art,tent,-15.705455780029297,-19.02288055419922,-13.39186716079712,-15.304759979248047,-12.160031795501709,-13.832513332366943,-8.364982843399048,-10.867342472076416
The reporter brought the,news,cake,-16.68515396118164,-19.710206985473633,-14.57991075515747,-17.94374370574951,-14.68870735168457,-18.02700901031494,-8.949297904968262,-11.786707878112793
The professor opened the,congress,jail,-18.973649978637695,-18.788509368896484,-16.43238925933838,-17.80156707763672,-15.128573894500732,-17.47421169281006,-9.106464862823486,-12.631282329559326
The gardener pushed the,mower,demonstrator,-18.20961570739746,-18.642623901367188,-15.1758131980896,-18.807541847229004,-14.209145545959473,-18.703999519348145,-10.958678722381592,-14.039674282073975
The astronaut touched the,ground,guitar,-13.698274612426758,-19.990795135498047,-11.704740047454834,-19.933491706848145,-9.838304042816162,-18.875391960144043,-6.045693397521973,-13.379992008209229
The lumberjack stacked the,wood,book,-11.413559913635254,-15.363687515258789,-8.493371963500977,-12.461321830749512,-8.380496978759766,-12.534589767456055,-6.456197500228882,-8.310733318328857
The cyclist rode the,bike,skates,-18.977861404418945,-19.58074378967285,-16.60577964782715,-14.894111633300781,-16.547809600830078,-14.626920223236084,-10.895421981811523,-10.050640106201172
The climber climbed the,rock,staircase,-12.57014274597168,-17.061635971069336,-10.21449327468872,-15.513157844543457,-9.81164836883545,-15.032918453216553,-7.784824371337891,-12.287460803985596
The salesperson sent the,questionnaire,gun,-17.604995727539062,-19.558996200561523,-15.151603698730469,-13.718056678771973,-17.224138259887695,-12.072869300842285,-9.029386043548584,-6.338665246963501
The traveller checked the,bag,groceries,-16.533784866333008,-18.702781677246094,-12.13236141204834,-15.765974044799805,-12.69829511642456,-15.973371028900146,-8.864282608032227,-8.763494491577148
The mechanic fixed the,tire,roof,-18.11824607849121,-16.436094284057617,-14.22148084640503,-11.862908840179443,-14.687472343444824,-12.074214935302734,-11.061718463897705,-8.373863220214844
